PeakID (cmd=annotatePeaks.pl HIOE_NEUROD1/HIOE_NEUROD1_0917input_0.05peaks.txt hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr17-17	chr17	29920911	29921239	+	22.8	0.818	Intergenic	Intergenic	18645	NR_029856	100126356		NR_029856	ENSG00000283978	MIR365B	MIR365-2|MIRN365-2|hsa-mir-365b|mir-365b	microRNA 365b	ncRNA
chr17-15	chr17	71970273	71970601	+	22.8	0.774	Intergenic	LTR16C|LTR|ERVL	-145761	NR_027146	283982	Hs.464079	NM_182564		LINC00469	C17orf54	long intergenic non-protein coding RNA 469	ncRNA
chr7-9	chr7	1968164	1968492	+	22.8	0.906	intron (NM_001304523, intron 16 of 17)	intron (NM_001304523, intron 16 of 17)	11879	NM_001304525	8379	Hs.654838	NM_003550	ENSG00000002822	MAD1L1	MAD1|PIG9|TP53I9|TXBP181	mitotic arrest deficient 1 like 1	protein-coding
chr4-8	chr4	783465	783793	+	22.8	0.673	intron (NM_006651, intron 3 of 3)	intron (NM_006651, intron 3 of 3)	-7993	NR_036511	100129917	Hs.731755	NR_036511	ENSG00000249592	LOC100129917	-	uncharacterized LOC100129917	ncRNA
chr16-33	chr16	11262487	11262815	+	22.8	0.800	intron (NM_015226, intron 22 of 22)	intron (NM_015226, intron 22 of 22)	87388	NM_003745	8651	Hs.50640	NM_003745	ENSG00000185338	SOCS1	CIS1|CISH1|JAB|SOCS-1|SSI-1|SSI1|TIP-3|TIP3	suppressor of cytokine signaling 1	protein-coding
chr11-12	chr11	72455043	72455371	+	22.8	0.885	intron (NM_001040118, intron 1 of 34)	intron (NM_001040118, intron 1 of 34)	8227	NM_001040118	116985	Hs.503165	NM_015242	ENSG00000186635	ARAP1	CENTD2	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1	protein-coding
chr14-5	chr14	96569960	96570288	+	22.8	0.818	Intergenic	MER91A|DNA|hAT-Tip100	64425	NM_001252507	56967	Hs.6434	NM_020215	ENSG00000227051	C14orf132	C14orf88	chromosome 14 open reading frame 132	protein-coding
chr15-2	chr15	45476902	45477230	+	22.8	0.833	intron (NM_138356, intron 2 of 7)	intron (NM_138356, intron 2 of 7)	3098	NM_001301170	90525	Hs.310399	NM_138356	ENSG00000138606	SHF	-	Src homology 2 domain containing F	protein-coding
chr17-16	chr17	21198676	21199004	+	22.8	0.786	intron (NM_002756, intron 1 of 11)	intron (NM_002756, intron 1 of 11)	7492	NM_002756	5606	Hs.514012	NM_002756	ENSG00000034152	MAP2K3	MAPKK3|MEK3|MKK3|PRKMK3|SAPKK-2|SAPKK2	mitogen-activated protein kinase kinase 3	protein-coding
chr1-18	chr1	32713832	32714160	+	22.3	0.788	exon (NM_032648, exon 2 of 2)	exon (NM_032648, exon 2 of 2)	1173	NM_032648	84734	Hs.18449	NM_032648	ENSG00000183615	FAM167B	C1orf90|DIORA-2	family with sequence similarity 167 member B	protein-coding
chr19-11	chr19	18591172	18591500	+	22.3	0.860	intron (NM_006532, intron 1 of 11)	intron (NM_006532, intron 1 of 11)	41544	NM_006532	8178	Hs.515260	NM_006532	ENSG00000105656	ELL	C19orf17|ELL1|MEN|PPP1R68	elongation factor for RNA polymerase II	protein-coding
chr2-16	chr2	238632279	238632607	+	22.3	0.830	intron (NM_001137550, intron 7 of 23)	intron (NM_001137550, intron 7 of 23)	31595	NM_001137553	9208	Hs.471779	NM_004735	ENSG00000124831	LRRFIP1	FLAP-1|FLAP1|FLIIAP1|GCF-2|GCF2|HUFI-1|TRIP	LRR binding FLII interacting protein 1	protein-coding
chr9-5	chr9	139590560	139590888	+	22.3	0.763	Intergenic	CpG	-8815	NM_006412	10555	Hs.320151	NM_006412	ENSG00000169692	AGPAT2	1-AGPAT2|BSCL|BSCL1|LPAAB|LPAAT-beta	1-acylglycerol-3-phosphate O-acyltransferase 2	protein-coding
chr7-10	chr7	1021921	1022249	+	22.3	0.816	promoter-TSS (NM_017781)	promoter-TSS (NM_017781)	-732	NM_017781	54905	Hs.272795	NM_017781	ENSG00000073067	CYP2W1	-	cytochrome P450 family 2 subfamily W member 1	protein-coding
chr3-4	chr3	39650030	39650358	+	22.3	0.696	Intergenic	L1PA15|LINE|L1	106637	NM_001278323	4336	Hs.121333	NM_182935	ENSG00000168314	MOBP	-	myelin associated oligodendrocyte basic protein	protein-coding
chr1-22	chr1	20769392	20769720	+	22.3	0.826	Intergenic	Intergenic	-14269	NR_033887	339505	Hs.633269	NR_033887		LINC01141	-	long intergenic non-protein coding RNA 1141	ncRNA
chr1-20	chr1	25867528	25867856	+	22.3	0.840	Intergenic	Intergenic	-2384	NM_015627	26119	Hs.590911	NM_015627	ENSG00000157978	LDLRAP1	ARH|ARH1|ARH2|FHCB1|FHCB2	low density lipoprotein receptor adaptor protein 1	protein-coding
chr1-17	chr1	204681488	204681816	+	22.3	0.818	Intergenic	Intergenic	-26786	NM_006338	10446	Hs.26312	NM_006338	ENSG00000170382	LRRN2	FIGLER7|GAC1|LRANK1|LRRN5	leucine rich repeat neuronal 2	protein-coding
chr19-12	chr19	17946646	17946974	+	21.8	0.920	exon (NM_000215, exon 14 of 24)	exon (NM_000215, exon 14 of 24)	12031	NM_000215	3718	Hs.515247	NM_000215	ENSG00000105639	JAK3	JAK-3|JAK3_HUMAN|JAKL|L-JAK|LJAK	Janus kinase 3	protein-coding
chr7-11	chr7	44293487	44293815	+	21.8	0.745	intron (NM_172078, intron 5 of 20)	intron (NM_172078, intron 5 of 20)	53074	NM_001363678	10652	Hs.520794	NM_006555	ENSG00000106636	YKT6	-	YKT6 v-SNARE homolog	protein-coding
chr2-17	chr2	47452580	47452908	+	21.8	0.808	intron (NR_110207, intron 1 of 2)	intron (NR_110207, intron 1 of 2)	-48669	NM_001305625	805	Hs.468442	NM_001743	ENSG00000143933	CALM2	CALM|CALML2|CAM1|CAM3|CAMC|CAMII|CAMIII|LQT15|PHKD|PHKD2|caM	calmodulin 2	protein-coding
chr5-2	chr5	1073992	1074320	+	21.8	0.759	intron (NM_006598, intron 16 of 23)	intron (NM_006598, intron 16 of 23)	-11067	NR_039778	100616479		NR_039778	ENSG00000263834	MIR4635	-	microRNA 4635	ncRNA
chr10-19	chr10	120578198	120578526	+	21.8	0.673	Intergenic	Intergenic	-63880	NM_153810	143384	Hs.420024	NM_153810	ENSG00000151893	CACUL1	C10orf46|CAC1	CDK2 associated cullin domain 1	protein-coding
chr9-7	chr9	136378242	136378570	+	21.8	0.854	Intergenic	X7B_LINE|LINE|CR1	11675	NM_001080483	389827		NM_001080483	ENSG00000187616	MYMK	MYOMAKER|TMEM226|TMEM8C	myomaker, myoblast fusion factor	protein-coding
chr3-6	chr3	11208044	11208372	+	21.8	0.593	intron (NM_001098212, intron 1 of 1)	intron (NM_001098212, intron 1 of 1)	12029	NM_001098212	3269	Hs.1570	NM_000861	ENSG00000196639	HRH1	H1-R|H1R|HH1R|hisH1	histamine receptor H1	protein-coding
chr3-5	chr3	46526535	46526863	+	21.3	0.689	promoter-TSS (NM_001321122)	promoter-TSS (NM_001321122)	25	NM_001321122	4057	Hs.529517	NM_002343	ENSG00000012223	LTF	GIG12|HEL110|HLF2|LF	lactotransferrin	protein-coding
chr17-22	chr17	39346196	39346524	+	21.3	0.630	exon (NM_001190460, exon 1 of 1)	exon (NM_001190460, exon 1 of 1)	221	NM_001190460	728318	Hs.727478	NM_001190460	ENSG00000240542	KRTAP9-1	KAP9.1|KRTAP9L3	keratin associated protein 9-1	protein-coding
chr17-23	chr17	39190874	39191202	+	21.3	0.766	promoter-TSS (NM_030966)	promoter-TSS (NM_030966)	88	NM_030966	81850	Hs.534495	NM_030966	ENSG00000221880	KRTAP1-3	KAP1.2|KAP1.3|KAP1.6|KAP1.8A|KAP1.8B|KAP1.9|KRTAP1.3	keratin associated protein 1-3	protein-coding
chr17-21	chr17	73006958	73007286	+	21.3	0.833	Intergenic	Intergenic	-1643	NM_001545	3396	Hs.407955	NM_001545	ENSG00000167862	MRPL58	DS-1|DS1|ICT1|MRP-L58	mitochondrial ribosomal protein L58	protein-coding
chr15-3	chr15	78107158	78107486	+	21.3	0.667	intron (NM_001301186, intron 1 of 5)	intron (NM_001301186, intron 1 of 5)	4472	NM_001301192	84894	Hs.656765	NM_032808	ENSG00000169783	LINGO1	LERN1|LRRN6A|MRT64|UNQ201	leucine rich repeat and Ig domain containing 1	protein-coding
chr9-6	chr9	139735671	139735999	+	21.3	0.750	TTS (NM_001173988)	TTS (NM_001173988)	-1095	NM_001080482	389813		NM_001080482	ENSG00000232434	AJM1	C9orf172|ajm-1	apical junction component 1 homolog	protein-coding
chr7-13	chr7	45872455	45872783	+	21.3	0.898	Intergenic	Intergenic	27791	NR_146388	730234	Hs.714106	NR_146388		LOC730234	-	uncharacterized LOC730234	ncRNA
chr17-18	chr17	57405927	57406255	+	21.3	0.769	Intergenic	L2a|LINE|L2	-2925	NM_001005404	388403	Hs.463613	NM_001005404	ENSG00000175155	YPEL2	FKSG4	yippee like 2	protein-coding
chr14-6	chr14	69178174	69178502	+	21.3	0.922	Intergenic	Intergenic	82293	NM_001244698	677	Hs.85155	NM_004926	ENSG00000185650	ZFP36L1	BRF1|Berg36|ERF-1|ERF1|RNF162B|TIS11B|cMG1	ZFP36 ring finger protein like 1	protein-coding
chrUn_gl000225-2	chrUn_gl000225	85499	85827	+	21.3	0.913	NA	BSR/Beta|Satellite|Satellite	NA	NA								
chr17-19	chr17	39228148	39228476	+	21.3	0.811	Intergenic	Intergenic	-6181	NM_033184	85294	Hs.560502	NM_033184	ENSG00000213417	KRTAP2-4	KAP2.1B|KAP2.3|KAP2.4|KRTAP2-3|KRTAP2.3|KRTAP2.4	keratin associated protein 2-4	protein-coding
chr17-20	chr17	39464764	39465092	+	21.3	0.741	exon (NM_001146182, exon 1 of 1)	exon (NM_001146182, exon 1 of 1)	577	NM_001146182	100505753	Hs.721600	NM_001146182	ENSG00000212657	KRTAP16-1	KAP16.1	keratin associated protein 16-1	protein-coding
chr1-24	chr1	8904570	8904898	+	21.3	0.745	Intergenic	Intergenic	21915	NR_106786	102465436		NR_106786	ENSG00000274258	MIR6728	hsa-mir-6728	microRNA 6728	ncRNA
chr12-4	chr12	133042997	133043325	+	21.3	0.627	Intergenic	Intergenic	-23576	NM_001367871	57666	Hs.411138	NM_001142641	ENSG00000112787	FBRSL1	-	fibrosin like 1	protein-coding
chr3-7	chr3	108907642	108907970	+	20.8	0.846	Intergenic	Intergenic	10794	NR_026767	677779	Hs.618669	NM_001040054	ENSG00000214381	LINC00488	C3orf66	long intergenic non-protein coding RNA 488	ncRNA
chr19-14	chr19	41829571	41829899	+	20.8	0.765	3' UTR (NM_052848, exon 5 of 5)	3' UTR (NM_052848, exon 5 of 5)	13353	NM_001346100	90324	Hs.437497	NM_052848	ENSG00000142039	CCDC97	-	coiled-coil domain containing 97	protein-coding
chr17-24	chr17	39316364	39316692	+	20.8	0.750	exon (NM_032524, exon 1 of 1)	exon (NM_032524, exon 1 of 1)	472	NM_032524	84616	Hs.307022	NM_032524	ENSG00000171396	KRTAP4-4	KAP4.13|KAP4.4|KRTAP4-13|KRTAP4.13|KRTAP4.4	keratin associated protein 4-4	protein-coding
chr5-4	chr5	171781984	171782312	+	20.8	0.844	intron (NM_001308175, intron 8 of 12)	intron (NM_001308175, intron 8 of 12)	69547	NR_130933	100288254	Hs.531911	NM_001007542		LOC100288254	-	uncharacterized LOC100288254	ncRNA
chr12-3	chr12	76231490	76231818	+	20.8	0.833	Intergenic	Intergenic	193902	NM_007350	22822	Hs.602085	NM_007350	ENSG00000139289	PHLDA1	DT1P1B11|PHRIP|TDAG51	pleckstrin homology like domain family A member 1	protein-coding
chr1-19	chr1	228129745	228130073	+	20.8	0.860	promoter-TSS (NR_049806)	promoter-TSS (NR_049806)	-525	NR_049806	100847072		NR_049806	ENSG00000264483	MIR5008	-	microRNA 5008	ncRNA
chr19-13	chr19	1667684	1668012	+	20.8	0.851	Intergenic	Intergenic	-15234	NM_003200	6929	Hs.371282	NM_003200	ENSG00000071564	TCF3	AGM8|E2A|E47|ITF1|TCF-3|VDIR|bHLHb21|p75	transcription factor 3	protein-coding
chr2-21	chr2	11047233	11047561	+	20.8	0.765	Intergenic	Intergenic	-4663	NM_002236	3754	Hs.23735	NM_002236	ENSG00000162975	KCNF1	IK8|KCNF|KV5.1|kH1	potassium voltage-gated channel modifier subfamily F member 1	protein-coding
chr7-12	chr7	140206841	140207169	+	20.8	0.774	Intergenic	Intergenic	-27636	NR_117084	23608	Hs.744883	NM_013446	ENSG00000133606	MKRN1	RNF61	makorin ring finger protein 1	protein-coding
chr7-14	chr7	2563937	2564265	+	20.8	0.771	intron (NM_001040167, intron 1 of 7)	intron (NM_001040167, intron 1 of 7)	-2607	NR_039791	100616116		NR_039791	ENSG00000264357	MIR4648	-	microRNA 4648	ncRNA
chr1-27	chr1	16062524	16062852	+	20.8	0.857	promoter-TSS (NM_207348)	promoter-TSS (NM_207348)	-65	NM_207348	284723	Hs.631867	NM_207348	ENSG00000162461	SLC25A34	-	solute carrier family 25 member 34	protein-coding
chr21-7	chr21	43732799	43733127	+	20.8	0.788	intron (NM_003226, intron 2 of 2)	intron (NM_003226, intron 2 of 2)	2743	NM_003226	7033	Hs.82961	NM_003226	ENSG00000160180	TFF3	ITF|P1B|TFI	trefoil factor 3	protein-coding
chr8-11	chr8	52577500	52577828	+	20.8	0.761	intron (NM_144651, intron 1 of 22)	intron (NM_144651, intron 1 of 22)	144341	NM_144651	137902	Hs.444882	NM_144651	ENSG00000147485	PXDNL	PMR1|PRM1|VPO2	peroxidasin like	protein-coding
chr1-25	chr1	20813574	20813902	+	20.8	0.712	Intergenic	Intergenic	-1035	NM_018584	55450	Hs.731383	NM_018584	ENSG00000162545	CAMK2N1	PRO1489	calcium/calmodulin dependent protein kinase II inhibitor 1	protein-coding
chr12-2	chr12	31387970	31388298	+	20.8	0.896	Intergenic	Intergenic	-33965	NR_153414	144203	Hs.524331	NM_173498	ENSG00000177359	OVOS2	-	alpha-2-macroglobulin like 1 pseudogene	pseudo
chr6-6	chr6	170552920	170553248	+	20.8	0.796	Intergenic	Intergenic	18573	NR_002787	154449	Hs.447751	NR_002787	ENSG00000230960	LOC154449	-	uncharacterized LOC154449	ncRNA
chr13-2	chr13	109986757	109987085	+	20.8	0.830	Intergenic	Intergenic	-66122	NR_126361	104326054	Hs.569298	NR_126361	ENSG00000229792	LINC00399	TCONS_00021596	long intergenic non-protein coding RNA 399	ncRNA
chr10-20	chr10	80988766	80989094	+	20.8	0.920	intron (NM_020338, intron 7 of 24)	intron (NM_020338, intron 7 of 24)	-118295	NM_005729	10105	Hs.381072	NM_005729	ENSG00000108179	PPIF	CYP3|CyP-M|Cyp-D|CypD	peptidylprolyl isomerase F	protein-coding
chr1-21	chr1	154810247	154810575	+	20.8	0.725	intron (NM_001204087, intron 1 of 8)	intron (NM_001204087, intron 1 of 8)	21941	NM_170782	3782	Hs.490765	NM_002249	ENSG00000143603	KCNN3	KCa2.3|SK3|SKCA3|hSK3	potassium calcium-activated channel subfamily N member 3	protein-coding
chr11-13	chr11	69189046	69189374	+	20.8	0.725	Intergenic	Intergenic	-51213	NM_001319657	102724265	Hs.448669	NM_001319657		LOC102724265	-	uncharacterized LOC102724265	protein-coding
chr1-23	chr1	153538961	153539289	+	20.8	0.872	promoter-TSS (NM_001366407)	promoter-TSS (NM_001366407)	-805	NM_001366407	6273	Hs.516484	NM_005978	ENSG00000196754	S100A2	CAN19|S100L	S100 calcium binding protein A2	protein-coding
chr2-15	chr2	99525961	99526289	+	20.8	0.837	intron (NM_207362, intron 1 of 9)	intron (NM_207362, intron 1 of 9)	26563	NM_207362	343990	Hs.469398	NM_207362	ENSG00000196872	KIAA1211L	C2orf55	KIAA1211 like	protein-coding
chr9-8	chr9	117052472	117052800	+	20.8	0.731	intron (NM_032888, intron 47 of 60)	intron (NM_032888, intron 47 of 60)	-32667	NM_000607	5004	Hs.522356	NM_000607	ENSG00000229314	ORM1	AGP-A|AGP1|HEL-S-153w|ORM	orosomucoid 1	protein-coding
chr2-19	chr2	24327608	24327936	+	20.8	0.717	intron (NR_111929, intron 3 of 5)	L1PREC2|LINE|L1	18432	NM_199346	375189	Hs.442718	NM_199346	ENSG00000176732	PFN4	-	profilin family member 4	protein-coding
chr14-8	chr14	90953429	90953757	+	20.8	0.826	Intergenic	Intergenic	29960	NR_135274	105370619	Hs.525530	NR_135274		LOC105370619	-	uncharacterized LOC105370619	ncRNA
chr6-7	chr6	168199974	168200302	+	20.2	0.854	Intergenic	Intergenic	-2599	NR_026773	26238	Hs.520583	NM_014356	ENSG00000146521	LINC01558	C6orf123|HGC6.2|LINC01557|dJ431P23.4	long intergenic non-protein coding RNA 1558	ncRNA
chr10-22	chr10	104420931	104421259	+	20.2	0.731	Intergenic	Intergenic	16843	NM_030912	81603	Hs.336810	NM_030912	ENSG00000171206	TRIM8	GERP|RNF27	tripartite motif containing 8	protein-coding
chr8-9	chr8	63074505	63074833	+	20.2	0.882	Intergenic	Intergenic	-86744	NR_130764	286183	Hs.654662	NM_173688	ENSG00000185942	NKAIN3	FAM77D	sodium/potassium transporting ATPase interacting 3	protein-coding
chr1-26	chr1	15466335	15466663	+	20.2	0.872	intron (NR_027136, intron 1 of 4)	intron (NR_027136, intron 1 of 4)	12461	NR_027136	200197	Hs.531424	NM_182534	ENSG00000175147	TMEM51-AS1	C1orf126	TMEM51 antisense RNA 1	ncRNA
chrY-8	chrY	58862551	58862879	+	20.2	0.929	Intergenic	(CATTC)n|Satellite|Satellite	-237688	NM_005840	10251	Hs.381912	NM_005840	ENSG00000168939	SPRY3	spry-3	sprouty RTK signaling antagonist 3	protein-coding
chr16-35	chr16	85470479	85470807	+	20.2	0.745	Intergenic	Intergenic	-130712	NR_049816	100847022		NR_049816	ENSG00000266307	MIR5093	-	microRNA 5093	ncRNA
chr22-9	chr22	25093598	25093926	+	20.2	0.755	Intergenic	Intergenic	-38648	NR_024593	646074	Hs.531306	NM_001025230		POM121L10P	-	POM121 transmembrane nucleoporin like 10, pseudogene	pseudo
chr6-8	chr6	149293577	149293905	+	20.2	0.773	intron (NM_005715, intron 5 of 7)	intron (NM_005715, intron 5 of 7)	-7921	NR_038408	100128176	Hs.557541	NR_038408		UST-AS1	-	UST antisense RNA 1	ncRNA
chr2-26	chr2	85536250	85536578	+	20.2	0.795	exon (NM_031283, exon 12 of 12)	exon (NM_031283, exon 12 of 12)	18698	NM_006464	10618	Hs.593382	NM_006464	ENSG00000152291	TGOLN2	TGN38|TGN46|TGN48|TGN51|TTGN2	trans-golgi network protein 2	protein-coding
chr13-3	chr13	114942680	114943008	+	20.2	0.722	Intergenic	Intergenic	-44746	NM_001320821	22821	Hs.593075	NM_007368	ENSG00000185989	RASA3	GAP1IP4BP|GAPIII	RAS p21 protein activator 3	protein-coding
chr9-11	chr9	95897061	95897389	+	19.7	0.745	promoter-TSS (NM_004148)	promoter-TSS (NM_004148)	-692	NM_004148	4814	Hs.494457	NM_004148	ENSG00000131669	NINJ1	NIN1|NINJURIN	ninjurin 1	protein-coding
chr2-25	chr2	219751293	219751621	+	19.7	0.796	intron (NM_025216, intron 2 of 3)	intron (NM_025216, intron 2 of 3)	5883	NM_025216	80326	Hs.121540	NM_025216	ENSG00000135925	WNT10A	OODD|SSPS|STHAG4	Wnt family member 10A	protein-coding
chr22-10	chr22	24577360	24577688	+	19.7	0.804	promoter-TSS (NM_019601)	promoter-TSS (NM_019601)	69	NM_019601	56241	Hs.131819	NM_019601	ENSG00000099994	SUSD2	BK65A6.2|W5C5	sushi domain containing 2	protein-coding
chr1-30	chr1	156377191	156377519	+	19.7	0.833	intron (NM_006365, intron 5 of 6)	intron (NM_006365, intron 5 of 6)	12866	NR_029691	407046		NR_029691	ENSG00000207933	MIR9-1	MIRN9-1|hsa-mir-9-1|miRNA9-1|mir-9-1	microRNA 9-1	ncRNA
chr2-18	chr2	25108654	25108982	+	19.7	0.833	intron (NM_001320613, intron 2 of 21)	L2b|LINE|L2	34288	NM_004036	109	Hs.467898	NM_004036	ENSG00000138031	ADCY3	AC-III|AC3|BMIQ19	adenylate cyclase 3	protein-coding
chr5-3	chr5	159714798	159715126	+	19.7	0.933	intron (NR_131769, intron 2 of 7)	intron (NR_131769, intron 2 of 7)	24609	NM_001308173	79616	Hs.14070	NM_024565	ENSG00000135083	CCNJL	-	cyclin J like	protein-coding
chr1-32	chr1	60225138	60225466	+	19.7	0.822	intron (NM_001244714, intron 13 of 13)	intron (NM_001244714, intron 13 of 13)	-13165	NR_110627	101926944	Hs.720353	NR_110627		LOC101926944	-	uncharacterized LOC101926944	ncRNA
chr1-34	chr1	16050355	16050683	+	19.7	0.756	intron (NM_015164, intron 7 of 19)	intron (NM_015164, intron 7 of 19)	-12234	NM_207348	284723	Hs.631867	NM_207348	ENSG00000162461	SLC25A34	-	solute carrier family 25 member 34	protein-coding
chr14-7	chr14	105541062	105541390	+	19.7	0.812	Intergenic	Intergenic	-9459	NM_001278694	29933	Hs.532504	NM_013345	ENSG00000183484	GPR132	G2A	G protein-coupled receptor 132	protein-coding
chr1-29	chr1	202628632	202628960	+	19.7	0.795	intron (NM_177402, intron 1 of 8)	intron (NM_177402, intron 1 of 8)	-16215	NM_001136504	127833	Hs.25422	NM_177402	ENSG00000143858	SYT2	CMS7|MYSPC|SytII	synaptotagmin 2	protein-coding
chr10-29	chr10	95205329	95205657	+	19.2	0.905	intron (NM_013451, intron 3 of 53)	intron (NM_013451, intron 3 of 53)	36598	NM_133337	26509	Hs.602086	NM_013451	ENSG00000138119	MYOF	FER1L3	myoferlin	protein-coding
chr15-8	chr15	50027083	50027411	+	19.2	0.886	Intergenic	L1PA16|LINE|L1	114002	NM_001144955	56986	Hs.127432	NM_020234	ENSG00000104047	DTWD1	MDS009	DTW domain containing 1	protein-coding
chr17-28	chr17	72143662	72143990	+	19.2	0.889	Intergenic	Intergenic	-55991	NM_001035258	6169	Hs.380953	NM_000999	ENSG00000172809	RPL38	L38	ribosomal protein L38	protein-coding
chr2-27	chr2	219861635	219861963	+	19.2	0.783	Intergenic	Intergenic	-3655	NM_057093	1412	Hs.415790	NM_057093	ENSG00000163499	CRYBA2	CTRCT42	crystallin beta A2	protein-coding
chr7-15	chr7	464546	464874	+	19.2	0.822	Intergenic	Intergenic	45319	NR_033960	442497	Hs.704269	NR_033960	ENSG00000249574	LOC442497	-	uncharacterized LOC442497	ncRNA
chr7-16	chr7	44300936	44301264	+	19.2	0.867	intron (NM_172078, intron 3 of 20)	intron (NM_172078, intron 3 of 20)	60523	NM_001363678	10652	Hs.520794	NM_006555	ENSG00000106636	YKT6	-	YKT6 v-SNARE homolog	protein-coding
chr10-23	chr10	105336651	105336979	+	19.2	0.884	intron (NM_004210, intron 3 of 5)	intron (NM_004210, intron 3 of 5)	-59616	NR_120676	102724341	Hs.599425	NR_120675	ENSG00000235470	NEURL1-AS1	-	NEURL1 antisense RNA 1	ncRNA
chr20-5	chr20	62789098	62789426	+	19.2	0.745	Intergenic	Intergenic	-6543	NM_004535	4661	Hs.279562	NM_004535	ENSG00000196132	MYT1	C20orf36|MTF1|MYTI|NZF2|PLPB1|ZC2H2C1|ZC2HC4A	myelin transcription factor 1	protein-coding
chr22-8	chr22	24524928	24525256	+	19.2	0.700	intron (NM_012295, intron 28 of 36)	intron (NM_012295, intron 28 of 36)	-52363	NM_019601	56241	Hs.131819	NM_019601	ENSG00000099994	SUSD2	BK65A6.2|W5C5	sushi domain containing 2	protein-coding
chr15-4	chr15	75986998	75987326	+	19.2	0.756	intron (NM_001897, intron 1 of 9)	intron (NM_001897, intron 1 of 9)	18027	NM_001897	1464	Hs.513044	NM_001897	ENSG00000173546	CSPG4	HMW-MAA|MCSP|MCSPG|MEL-CSPG|MSK16|NG2	chondroitin sulfate proteoglycan 4	protein-coding
chr1-35	chr1	22589043	22589371	+	19.2	0.889	Intergenic	Intergenic	-3525	NR_039613	100616433		NR_039613	ENSG00000266564	MIR4418	-	microRNA 4418	ncRNA
chr9-9	chr9	132638031	132638359	+	19.2	0.864	intron (NM_001008563, intron 21 of 25)	intron (NM_001008563, intron 21 of 25)	6311	NR_106914	102466750		NR_106914	ENSG00000276124	MIR6855	hsa-mir-6855	microRNA 6855	ncRNA
chr6-9	chr6	20699666	20699994	+	19.2	0.878	intron (NM_017774, intron 5 of 15)	intron (NM_017774, intron 5 of 15)	165142	NM_017774	54901	Hs.657604	NM_017774	ENSG00000145996	CDKAL1	-	CDK5 regulatory subunit associated protein 1 like 1	protein-coding
chr17-30	chr17	78157561	78157889	+	19.2	0.761	non-coding (NR_047566, exon 5 of 22)	non-coding (NR_047566, exon 5 of 22)	-3874	NM_052819	79092	Hs.675480	NM_024110	ENSG00000141527	CARD14	BIMP2|CARMA2|PRP|PSORS2|PSS1	caspase recruitment domain family member 14	protein-coding
chr12-5	chr12	133006915	133007243	+	19.2	0.778	Intergenic	Intergenic	-59658	NM_001367871	57666	Hs.411138	NM_001142641	ENSG00000112787	FBRSL1	-	fibrosin like 1	protein-coding
chr2-28	chr2	129063236	129063564	+	19.2	0.837	intron (NM_004807, intron 1 of 1)	intron (NM_004807, intron 1 of 1)	13042	NM_004807	9394	Hs.512841	NM_004807	ENSG00000136720	HS6ST1	HH15|HS6ST	heparan sulfate 6-O-sulfotransferase 1	protein-coding
chr14-9	chr14	96570906	96571234	+	19.2	0.740	Intergenic	Intergenic	65371	NM_001252507	56967	Hs.6434	NM_020215	ENSG00000227051	C14orf132	C14orf88	chromosome 14 open reading frame 132	protein-coding
chr9-10	chr9	129424003	129424331	+	19.2	0.816	intron (NM_001174147, intron 2 of 7)	intron (NM_001174147, intron 2 of 7)	47445	NM_002316	4010	Hs.129133	NM_002316	ENSG00000136944	LMX1B	LMX1.2|NPS1	LIM homeobox transcription factor 1 beta	protein-coding
