PeakID (cmd=annotatePeaks.pl HIOE_Ngn3_0.05/HIOE_Ngn3_0917input_0.05peaks.txt hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr20-1	chr20	22504310	22504494	+	16.0	0.764	Intergenic	Intergenic	54878	NR_001558	140828	Hs.9842	NR_001558	ENSG00000259974	LINC00261	ALIEN|C20orf56|DEANR1|FALCOR|HCCDR1|NCRNA00261|TCONS_00027846|onco-lncRNA-17	long intergenic non-protein coding RNA 261	ncRNA
chr1-13	chr1	2615467	2615651	+	15.8	0.624	intron (NM_001242672, intron 5 of 7)	intron (NM_001242672, intron 5 of 7)	-51104	NM_033467	79258	Hs.591453	NM_033467	ENSG00000142606	MMEL1	MMEL2|NEP2|NEPII|NL1|NL2|SEP	membrane metalloendopeptidase like 1	protein-coding
chr12-1	chr12	133043007	133043191	+	15.8	0.648	Intergenic	Intergenic	-23638	NM_001367871	57666	Hs.411138	NM_001142641	ENSG00000112787	FBRSL1	-	fibrosin like 1	protein-coding
chr17-13	chr17	21198763	21198947	+	15.8	0.705	intron (NM_002756, intron 1 of 11)	intron (NM_002756, intron 1 of 11)	7507	NM_002756	5606	Hs.514012	NM_002756	ENSG00000034152	MAP2K3	MAPKK3|MEK3|MKK3|PRKMK3|SAPKK-2|SAPKK2	mitogen-activated protein kinase kinase 3	protein-coding
chr7_gl000195_random-1	chr7_gl000195_random	80364	80548	+	15.8	0.617	intron (NM_001242480, intron 1 of 3)	LTR12C|LTR|ERV1	6263	NM_001322044	102724219	Hs.743984	NM_001322044		LOC102724219	-	uncharacterized LOC102724219	protein-coding
chrY-16	chrY	58848071	58848255	+	15.6	0.969	Intergenic	(CATTC)n|Satellite|Satellite	-252240	NM_005840	10251	Hs.381912	NM_005840	ENSG00000168939	SPRY3	spry-3	sprouty RTK signaling antagonist 3	protein-coding
chr17-15	chr17	78466099	78466283	+	15.5	0.595	Intergenic	(TGG)n|Simple_repeat|Simple_repeat	-15784	NM_002522	4884	Hs.514556	NM_002522	ENSG00000171246	NPTX1	NP1	neuronal pentraxin 1	protein-coding
chrY-17	chrY	13458355	13458539	+	15.5	0.886	Intergenic	(CATTC)n|Satellite|Satellite	1074942	NR_033667	352887	Hs.546221	NR_033667	ENSG00000206159	GYG2P1	GYG2P	glycogenin 2 pseudogene 1	pseudo
chr1-14	chr1	20141299	20141483	+	15.5	0.695	exon (NM_019062, exon 1 of 1)	exon (NM_019062, exon 1 of 1)	385	NM_019062	54546	Hs.124835	NM_019062	ENSG00000178828	RNF186	-	ring finger protein 186	protein-coding
chr9_gl000199_random-12	chr9_gl000199_random	51266	51450	+	15.5	0.856	NA	ALR/Alpha|Satellite|centr	NA	NA								
chr11-5	chr11	68070153	68070337	+	15.3	0.858	Intergenic	LTR78|LTR|ERV1	-9814	NM_002335	4041	Hs.6347	NM_002335	ENSG00000162337	LRP5	BMND1|EVR1|EVR4|HBM|LR3|LRP-5|LRP-7|LRP7|OPPG|OPS|OPTA1|PCLD4|VBCH2	LDL receptor related protein 5	protein-coding
chr17-14	chr17	72329105	72329289	+	15.3	0.800	intron (NM_153209, intron 2 of 19)	intron (NM_153209, intron 2 of 19)	6832	NM_153209	124602	Hs.372773	NM_153209	ENSG00000196169	KIF19	KIF19A	kinesin family member 19	protein-coding
chr16-43	chr16	57850362	57850546	+	15.3	0.794	3' UTR (NM_001278081, exon 5 of 5)	3' UTR (NM_001278081, exon 5 of 5)	5905	NM_001278081	388282	Hs.434720	NM_001278081		LOC388282	-	uncharacterized LOC388282	protein-coding
chr5-1	chr5	49405785	49405969	+	15.1	0.828	Intergenic	ALR/Alpha|Satellite|centr	331245	NM_198449	133418	Hs.561411	NM_198449	ENSG00000170571	EMB	GP70	embigin	protein-coding
chrUn_gl000216-2	chrUn_gl000216	132129	132313	+	15.1	0.968	NA	BSR/Beta|Satellite|Satellite	NA	NA								
chr3-3	chr3	182834099	182834283	+	15.1	0.732	Intergenic	Intergenic	-16816	NM_001293273	56922	Hs.47649	NM_020166	ENSG00000078070	MCCC1	MCC-B|MCCA	methylcrotonoyl-CoA carboxylase 1	protein-coding
chr13-1	chr13	113645288	113645472	+	15.0	0.855	intron (NM_001320816, intron 1 of 29)	intron (NM_001320816, intron 1 of 29)	-10648	NM_001320815	23263	Hs.170422	NM_024979	ENSG00000126217	MCF2L	ARHGEF14|DBS|OST	MCF.2 cell line derived transforming sequence like	protein-coding
chr17-16	chr17	79924824	79925008	+	14.8	0.766	Intergenic	Intergenic	-5853	NM_178493	147111	Hs.106137	NM_178493	ENSG00000185269	NOTUM	hNOTUM	notum, palmitoleoyl-protein carboxylesterase	protein-coding
chr1-16	chr1	19265310	19265494	+	14.8	0.742	intron (NM_001136265, intron 1 of 8)	intron (NM_001136265, intron 1 of 8)	17768	NM_001136265	126917	Hs.466625	NM_001136265	ENSG00000169991	IFFO2	-	intermediate filament family orphan 2	protein-coding
chr4-12	chr4	850199	850383	+	14.8	0.605	intron (NM_005255, intron 24 of 27)	intron (NM_005255, intron 24 of 27)	-30374	NM_006651	10815	Hs.478930	NM_006651	ENSG00000168993	CPLX1	CPX-I|CPX1|EIEE63	complexin 1	protein-coding
chr1-15	chr1	3614584	3614768	+	14.8	0.770	promoter-TSS (NM_001204192)	promoter-TSS (NM_001204192)	66	NM_001204192	7161	Hs.192132	NM_005427	ENSG00000078900	TP73	P73	tumor protein p73	protein-coding
chr9_gl000199_random-14	chr9_gl000199_random	109699	109883	+	14.8	0.947	NA	ALR/Alpha|Satellite|centr	NA	NA								
chr9_gl000199_random-13	chr9_gl000199_random	68590	68774	+	14.8	0.840	NA	ALR/Alpha|Satellite|centr	NA	NA								
chr8-14	chr8	144487401	144487585	+	14.6	0.707	Intergenic	Intergenic	-12356	NR_126358	104326051	Hs.202140	NR_126358	ENSG00000254338	MAFA-AS1	TCONS_00014882	MAFA antisense RNA 1	ncRNA
chr16-44	chr16	4349126	4349310	+	14.6	0.769	Intergenic	Intergenic	-15544	NM_001318918	84662	Hs.592087	NM_032575	ENSG00000126603	GLIS2	NKL|NPHP7	GLIS family zinc finger 2	protein-coding
chr1-17	chr1	22589144	22589328	+	14.5	0.835	Intergenic	Intergenic	-3496	NR_039613	100616433		NR_039613	ENSG00000266564	MIR4418	-	microRNA 4418	ncRNA
chrUn_gl000214-1	chrUn_gl000214	30558	30742	+	14.5	0.575	NA	CpG	NA	NA								
chr7-8	chr7	1595941	1596125	+	14.5	0.825	promoter-TSS (NM_001097620)	promoter-TSS (NM_001097620)	-192	NM_001097620	202915	Hs.592174	NM_152689	ENSG00000164855	TMEM184A	SDMG1	transmembrane protein 184A	protein-coding
chr20-2	chr20	47132060	47132244	+	14.5	0.638	Intergenic	D20S16|Satellite|Satellite	143498	NR_026958	284749	Hs.299080	NR_026958	ENSG00000235621	LINC00494	-	long intergenic non-protein coding RNA 494	ncRNA
chr10-31	chr10	106060592	106060776	+	14.1	0.848	3' UTR (NM_183239, exon 7 of 7)	3' UTR (NM_183239, exon 7 of 7)	-22438	NR_120622	101927472	Hs.670333	NR_120622		ITPRIP-AS1	-	ITPRIP antisense RNA 1	ncRNA
chr7-9	chr7	36985603	36985787	+	14.1	0.765	intron (NM_001206482, intron 16 of 21)	intron (NM_001206482, intron 16 of 21)	-26658	NR_031604	100302113		NR_031604	ENSG00000221325	MIR1200	MIRN1200|hsa-mir-1200	microRNA 1200	ncRNA
chrUn_gl000220-36	chrUn_gl000220	31026	31210	+	14.1	0.648	Intergenic	LTR12C|LTR|ERV1	-66011	NR_038958	100507412	Hs.426704	NR_038958		LOC100507412	-	uncharacterized LOC100507412	ncRNA
chr11-6	chr11	66092834	66093018	+	14.1	0.793	Intergenic	Intergenic	-8411	NM_020404	57124	Hs.195727	NM_020404	ENSG00000174807	CD248	CD164L1|TEM1	CD248 molecule	protein-coding
chr4-13	chr4	49104532	49104716	+	14.0	0.842	Intergenic	(CATTC)n|Satellite|Satellite	115965	NM_001286791	80157	Hs.479703	NM_025087	ENSG00000109182	CWH43	CWH43-C|PGAP2IP	cell wall biogenesis 43 C-terminal homolog	protein-coding
chr1-19	chr1	2585928	2586112	+	13.8	0.646	intron (NM_001242672, intron 5 of 7)	intron (NM_001242672, intron 5 of 7)	-21565	NM_033467	79258	Hs.591453	NM_033467	ENSG00000142606	MMEL1	MMEL2|NEP2|NEPII|NL1|NL2|SEP	membrane metalloendopeptidase like 1	protein-coding
chr2-31	chr2	89878408	89878592	+	13.8	0.782	Intergenic	(GAATG)n|Satellite|Satellite	766616	NR_039635	100616399		NR_039635	ENSG00000265510	MIR4436A	mir-4436a	microRNA 4436a	ncRNA
chr2-32	chr2	90475597	90475781	+	13.8	0.726	Intergenic	(GCTG)n|Simple_repeat|Simple_repeat	1363805	NR_039635	100616399		NR_039635	ENSG00000265510	MIR4436A	mir-4436a	microRNA 4436a	ncRNA
chr1-18	chr1	1234394	1234578	+	13.8	0.788	intron (NM_030649, intron 10 of 23)	intron (NM_030649, intron 10 of 23)	-2936	NR_106784	102465434		NR_106784	ENSG00000278073	MIR6726	hsa-mir-6726	microRNA 6726	ncRNA
chrUn_gl000225-8	chrUn_gl000225	196920	197104	+	13.8	0.943	NA	(GAATG)n|Satellite|Satellite	NA	NA								
chr8-15	chr8	52577523	52577707	+	13.8	0.817	intron (NM_144651, intron 1 of 22)	intron (NM_144651, intron 1 of 22)	144390	NM_144651	137902	Hs.444882	NM_144651	ENSG00000147485	PXDNL	PMR1|PRM1|VPO2	peroxidasin like	protein-coding
chr7-10	chr7	61982895	61983079	+	13.8	0.912	Intergenic	ALR/Alpha|Satellite|centr	781447	NR_003952	643955	Hs.583308	NR_003952	ENSG00000185037	ZNF733P	ZNF733	zinc finger protein 733, pseudogene	pseudo
chr11-7	chr11	61263666	61263850	+	13.6	0.706	Intergenic	Intergenic	-12310	NR_039708	100616470		NR_039708	ENSG00000266006	MIR4488	mir-4488	microRNA 4488	ncRNA
chrY-21	chrY	58833921	58834105	+	13.6	0.977	Intergenic	(CATTC)n|Satellite|Satellite	-266390	NM_005840	10251	Hs.381912	NM_005840	ENSG00000168939	SPRY3	spry-3	sprouty RTK signaling antagonist 3	protein-coding
chr17-17	chr17	15167923	15168107	+	13.5	0.802	intron (NM_000304, intron 1 of 4)	intron (NM_000304, intron 1 of 4)	628	NM_000304	5376	Hs.372031	NM_000304	ENSG00000109099	PMP22	CIDP|CMT1A|CMT1E|DSS|GAS-3|GAS3|HMSNIA|HNPP|Sp110	peripheral myelin protein 22	protein-coding
chr19_gl000208_random-5	chr19_gl000208_random	92246	92428	+	13.5	0.964	NA	ALR/Alpha|Satellite|centr	NA	NA								
chr4-18	chr4	49120956	49121140	+	13.3	0.648	Intergenic	(CATTC)n|Satellite|Satellite	132389	NM_001286791	80157	Hs.479703	NM_025087	ENSG00000109182	CWH43	CWH43-C|PGAP2IP	cell wall biogenesis 43 C-terminal homolog	protein-coding
chr7-11	chr7	155387070	155387254	+	13.3	0.740	Intergenic	Intergenic	-23721	NM_001369813	285888	Hs.146751	NM_001103176	ENSG00000146910	CNPY1	-	canopy FGF signaling regulator 1	protein-coding
chr1-22	chr1	203085385	203085569	+	13.1	0.740	Intergenic	Intergenic	-11377	NM_001365066	134	Hs.77867	NM_000674	ENSG00000163485	ADORA1	RDC7	adenosine A1 receptor	protein-coding
chr4-19	chr4	49099626	49099810	+	13.1	0.929	Intergenic	(CATTC)n|Satellite|Satellite	111059	NM_001286791	80157	Hs.479703	NM_025087	ENSG00000109182	CWH43	CWH43-C|PGAP2IP	cell wall biogenesis 43 C-terminal homolog	protein-coding
chr1-20	chr1	149224520	149224704	+	13.1	0.772	promoter-TSS (NR_004400).5	promoter-TSS (NR_004400).5	-391	NR_004400	26863		NR_004400	ENSG00000206737	RNVU1-18	RNU1-25|RNU1-25P|RNU1-5|RNU1P1|RNU1P9|U1.15|U1P101|U1P15|vU1.18	RNA, variant U1 small nuclear 18	snRNA
chr10-32	chr10	6128350	6128534	+	13.1	0.892	Intergenic	Intergenic	-2555	NM_032905	84991	Hs.498548	NM_032905	ENSG00000134453	RBM17	SPF45	RNA binding motif protein 17	protein-coding
chrUn_gl000237-1	chrUn_gl000237	583	767	+	13.1	0.734	NA	Intergenic	NA	NA								
chr17-18	chr17	39228347	39228531	+	13.1	0.761	Intergenic	Intergenic	-6308	NM_033184	85294	Hs.560502	NM_033184	ENSG00000213417	KRTAP2-4	KAP2.1B|KAP2.3|KAP2.4|KRTAP2-3|KRTAP2.3|KRTAP2.4	keratin associated protein 2-4	protein-coding
chr11-10	chr11	762467	762651	+	13.1	0.725	intron (NM_006755, intron 4 of 7)	L1ME1|LINE|L1	14928	NM_001318820	347862	Hs.218362	NM_182612	ENSG00000177225	GATD1	PDDC1	glutamine amidotransferase like class 1 domain containing 1	protein-coding
chr2-36	chr2	89879033	89879217	+	13.0	0.733	Intergenic	(GAATG)n|Satellite|Satellite	767241	NR_039635	100616399		NR_039635	ENSG00000265510	MIR4436A	mir-4436a	microRNA 4436a	ncRNA
chr2-34	chr2	92276608	92276792	+	13.0	0.929	Intergenic	ALR/Alpha|Satellite|centr	147541	NR_027714	440888	Hs.730239	NM_001032412		ACTR3BP2	FKSG73	ACTR3B pseudogene 2	pseudo
chr21-5	chr21	10856756	10856940	+	13.0	0.809	Intergenic	(GAATG)n|Satellite|Satellite	134095	NM_199261	7179	Hs.122986	NM_199259	ENSG00000274391	TPTE	CT44|PTEN2	transmembrane phosphatase with tensin homology	protein-coding
chr10-33	chr10	3088629	3088813	+	13.0	0.667	Intergenic	Intergenic	20404	NR_160682	101927824		NR_160681		LOC101927824	-	uncharacterized LOC101927824	ncRNA
chr22-3	chr22	24812132	24812316	+	13.0	0.788	3' UTR (NM_015330, exon 17 of 17)	3' UTR (NM_015330, exon 17 of 17)	-7341	NM_001278500	135	Hs.197029	NM_000675	ENSG00000128271	ADORA2A	A2aR|ADORA2|RDC8	adenosine A2a receptor	protein-coding
chr1-23	chr1	41837947	41838131	+	12.8	0.726	intron (NM_001291281, intron 1 of 2)	intron (NM_001291281, intron 1 of 2)	3302	NR_135817	101929901		NR_135817	ENSG00000229901	LOC101929901	-	uncharacterized LOC101929901	ncRNA
chr19-12	chr19	933346	933530	+	12.8	0.743	intron (NM_005224, intron 3 of 8)	intron (NM_005224, intron 3 of 8)	7403	NM_005224	1820	Hs.501296	NM_005224	ENSG00000116017	ARID3A	BRIGHT|DRIL1|DRIL3|E2FBP1	AT-rich interaction domain 3A	protein-coding
chr8-17	chr8	17519286	17519470	+	12.8	0.755	intron (NR_156437, intron 7 of 13)	intron (NR_156437, intron 7 of 13)	14632	NM_001330470	57509	Hs.7946	NM_020749	ENSG00000129422	MTUS1	ATBP|ATIP|ATIP3|ICIS|MP44|MTSG1	microtubule associated scaffold protein 1	protein-coding
chr2-37	chr2	127822569	127822753	+	12.8	0.786	intron (NM_004305, intron 6 of 14)	intron (NM_004305, intron 6 of 14)	16980	NM_001320634	274	Hs.193163	NM_004305	ENSG00000136717	BIN1	AMPH2|AMPHL|CNM2|SH3P9	bridging integrator 1	protein-coding
chr9-4	chr9	139590629	139590813	+	12.8	0.675	Intergenic	CpG	-8812	NM_006412	10555	Hs.320151	NM_006412	ENSG00000169692	AGPAT2	1-AGPAT2|BSCL|BSCL1|LPAAB|LPAAT-beta	1-acylglycerol-3-phosphate O-acyltransferase 2	protein-coding
chr7-12	chr7	82188836	82189020	+	12.6	0.851	Intergenic	Intergenic	-115656	NM_001366867	781	Hs.282151	NM_000722	ENSG00000153956	CACNA2D1	CACNA2|CACNL2A|CCHL2A|LINC01112|lncRNA-N3	calcium voltage-gated channel auxiliary subunit alpha2delta 1	protein-coding
chr11-9	chr11	46400822	46401006	+	12.6	0.739	intron (NM_001199268, intron 28 of 29)	intron (NM_001199268, intron 28 of 29)	-1420	NM_001270550	4192	Hs.82045	NM_002391	ENSG00000110492	MDK	ARAP|MK|NEGF2	midkine	protein-coding
chr7-13	chr7	56441154	56441338	+	12.6	0.974	Intergenic	Intergenic	74822	NR_029420	650226	Hs.448401	NR_029420		LOC650226	-	ankyrin repeat domain 26 pseudogene	pseudo
chr20-3	chr20	61021087	61021271	+	12.6	0.738	intron (NR_033263, intron 7 of 7)	intron (NR_033263, intron 7 of 7)	-18584	NM_080833	140893	Hs.180374	NM_080833	ENSG00000130701	RBBP8NL	C20orf151	RBBP8 N-terminal like	protein-coding
chr15-8	chr15	21317874	21318058	+	12.6	0.739	Intergenic	(GCTG)n|Simple_repeat|Simple_repeat	109360	NR_145444	654499		NR_145444		FAM30C	HsT16041|KIAA0125P2	family with sequence similarity 30 member C	ncRNA
chr11-11	chr11	51570031	51570215	+	12.6	0.939	Intergenic	ALR/Alpha|Satellite|centr	54841	NM_001004703	119749	Hs.553564	NM_001004703	ENSG00000185926	OR4C46	-	olfactory receptor family 4 subfamily C member 46	protein-coding
chrUn_gl000216-4	chrUn_gl000216	22476	22660	+	12.6	0.904	NA	(CATTC)n|Satellite|Satellite	NA	NA								
chr15-7	chr15	20308244	20308428	+	12.6	0.974	Intergenic	(GCTG)n|Simple_repeat|Simple_repeat	-179661	NR_038836	646096	Hs.448789	NR_038836	ENSG00000259156	CHEK2P2	-	checkpoint kinase 2 pseudogene 2	pseudo
chr16-47	chr16	1128431	1128615	+	12.5	0.686	promoter-TSS (NM_001053)	promoter-TSS (NM_001053)	208	NR_027242	146336	Hs.250557	NM_182510	ENSG00000261713	SSTR5-AS1	-	SSTR5 antisense RNA 1	ncRNA
chr22-4	chr22	23450283	23450467	+	12.5	0.736	intron (NM_002073, intron 2 of 2)	intron (NM_002073, intron 2 of 2)	33802	NM_014433	27156	Hs.526920	NM_014433	ENSG00000100218	RSPH14	RTDR1	radial spoke head 14 homolog	protein-coding
chr10-34	chr10	89378738	89378922	+	12.3	0.778	Intergenic	L2c|LINE|L2	-40805	NM_001015880	9060	Hs.524491	NM_004670	ENSG00000198682	PAPSS2	ATPSK2|BCYM4|SK2	3'-phosphoadenosine 5'-phosphosulfate synthase 2	protein-coding
chr19-13	chr19	3387995	3388179	+	12.3	0.810	intron (NM_001245005, intron 2 of 9)	CpG	21506	NM_001245004	4782	Hs.170131	NM_005597	ENSG00000141905	NFIC	CTF|CTF5|NF-I|NFI	nuclear factor I C	protein-coding
chr4-21	chr4	49650630	49650814	+	12.3	0.925	Intergenic	(GAATG)n|Satellite|Satellite	662063	NM_001286791	80157	Hs.479703	NM_025087	ENSG00000109182	CWH43	CWH43-C|PGAP2IP	cell wall biogenesis 43 C-terminal homolog	protein-coding
chr17-19	chr17	3782463	3782647	+	12.3	0.804	intron (NM_172206, intron 9 of 15)	L2b|LINE|L2	11482	NM_172206	84254	Hs.8417	NM_032294	ENSG00000004660	CAMKK1	CAMKKA	calcium/calmodulin dependent protein kinase kinase 1	protein-coding
chr20-5	chr20	30175556	30175740	+	12.3	0.781	Intergenic	CpG	-14582	NR_046853	100874042	Hs.373741	NR_046853	ENSG00000230613	HM13-AS1	-	HM13 antisense RNA 1	ncRNA
chrUn_gl000224-8	chrUn_gl000224	12777	12961	+	12.3	0.937	Intergenic	ACRO1|Satellite|acro	-89634	NR_135482	100505874	Hs.559790	NR_135481		LOC100505874	-	uncharacterized LOC100505874	ncRNA
chr3-4	chr3	32443039	32443223	+	12.3	0.854	intron (NM_138410, intron 1 of 4)	intron (NM_138410, intron 1 of 4)	9786	NM_181472	112616	Hs.440494	NM_138410	ENSG00000153551	CMTM7	CKLFSF7	CKLF like MARVEL transmembrane domain containing 7	protein-coding
chr5-3	chr5	1157519	1157703	+	12.1	0.521	Intergenic	Intergenic	21109	NR_109911	101928857	Hs.593732	NR_109911	ENSG00000249201	CTD-3080P12.3	-	uncharacterized LOC101928857	ncRNA
chr17-21	chr17	72143689	72143873	+	12.1	0.825	Intergenic	Intergenic	-56036	NM_000999	6169	Hs.380953	NM_000999	ENSG00000172809	RPL38	L38	ribosomal protein L38	protein-coding
chr16-46	chr16	2197971	2198155	+	12.1	0.675	promoter-TSS (NM_001308053)	promoter-TSS (NM_001308053)	-82	NM_001308053	25837	Hs.3797	NM_014353	ENSG00000167964	RAB26	V46133	RAB26, member RAS oncogene family	protein-coding
chr2-41	chr2	89867966	89868150	+	12.1	0.737	Intergenic	(CATTC)n|Satellite|Satellite	756174	NR_039635	100616399		NR_039635	ENSG00000265510	MIR4436A	mir-4436a	microRNA 4436a	ncRNA
chr12-3	chr12	76353986	76354170	+	12.0	0.804	Intergenic	Intergenic	71478	NM_007350	22822	Hs.602085	NM_007350	ENSG00000139289	PHLDA1	DT1P1B11|PHRIP|TDAG51	pleckstrin homology like domain family A member 1	protein-coding
chr1-26	chr1	121386209	121386393	+	12.0	0.935	Intergenic	ALR/Alpha|Satellite|centr	125391	NR_003955	647121	Hs.697682	NR_003955	ENSG00000231752	EMBP1	-	embigin pseudogene 1	pseudo
chr2-40	chr2	19173073	19173257	+	12.0	0.828	intron (NR_135287, intron 3 of 3)	intron (NR_135287, intron 3 of 3)	53561	NR_135287	400945	Hs.502854	NR_135287	ENSG00000236204	LINC01376	-	long intergenic non-protein coding RNA 1376	ncRNA
chr2-43	chr2	133339585	133339769	+	12.0	0.733	intron (NM_001508, intron 1 of 1)	intron (NM_001508, intron 1 of 1)	88101	NM_001321235	116372	Hs.432395	NM_144586	ENSG00000150551	LYPD1	LYPDC1|PHTS	LY6/PLAUR domain containing 1	protein-coding
chr11-13	chr11	1897085	1897269	+	12.0	0.706	intron (NM_001013254, intron 1 of 10)	intron (NM_001013254, intron 1 of 10)	-4098	NR_107001	102465993		NR_107001	ENSG00000284594	MIR7847	hsa-mir-7847	microRNA 7847	ncRNA
chr17-20	chr17	2863559	2863743	+	12.0	0.768	intron (NM_001100398, intron 4 of 23)	intron (NM_001100398, intron 4 of 23)	5538	NR_110818	101927911	Hs.626373	NR_110818	ENSG00000262884	LOC101927911	-	uncharacterized LOC101927911	ncRNA
chr10-36	chr10	42356953	42357137	+	12.0	0.788	Intergenic	(CATTC)n|Satellite|Satellite	506448	NR_024380	441666	Hs.255729	NR_024380	ENSG00000215146	LOC441666	-	zinc finger protein 91 pseudogene	pseudo
chr2-45	chr2	47452627	47452811	+	11.8	0.815	intron (NR_110207, intron 1 of 2)	intron (NR_110207, intron 1 of 2)	-48644	NM_001305625	805	Hs.468442	NM_001743	ENSG00000143933	CALM2	CALM|CALML2|CAM1|CAM3|CAMC|CAMII|CAMIII|LQT15|PHKD|PHKD2|caM	calmodulin 2	protein-coding
chr17-22	chr17	78420871	78421055	+	11.8	0.806	Intergenic	Intergenic	27745	NR_039883	100616359		NR_039883	ENSG00000264961	MIR4730	-	microRNA 4730	ncRNA
chr1-28	chr1	174943896	174944080	+	11.8	0.757	intron (NM_001366446, intron 21 of 25)	intron (NM_001366446, intron 21 of 25)	10073	NM_001243764	9910	Hs.585378	NM_014857	ENSG00000152061	RABGAP1L	HHL|TBC1D18	RAB GTPase activating protein 1 like	protein-coding
chr4-24	chr4	49289013	49289197	+	11.8	0.868	Intergenic	ACRO1|Satellite|acro	300446	NM_001286791	80157	Hs.479703	NM_025087	ENSG00000109182	CWH43	CWH43-C|PGAP2IP	cell wall biogenesis 43 C-terminal homolog	protein-coding
chrX-4	chrX	58561325	58561509	+	11.8	0.900	Intergenic	ALR/Alpha|Satellite|centr	-624350	NM_007156	7789	Hs.550094	NM_007156	ENSG00000198205	ZXDA	ZNF896	zinc finger X-linked duplicated A	protein-coding
chr19-14	chr19	41197202	41197386	+	11.6	0.752	promoter-TSS (NM_004756)	promoter-TSS (NM_004756)	-738	NM_004756	9253	Hs.326953	NM_004756	ENSG00000105245	NUMBL	CAG3A|CTG3a|NBL|NUMB-R|NUMBLIKE|NUMBR|TNRC23	NUMB like endocytic adaptor protein	protein-coding
chr11-15	chr11	36274925	36275109	+	11.6	0.811	Intergenic	Intergenic	35957	NM_001307937	29099	Hs.99443	NM_014186	ENSG00000110442	COMMD9	C11orf55|HSPC166|LINC00610	COMM domain containing 9	protein-coding
chr12-2	chr12	122461818	122462002	+	11.6	0.774	intron (NM_020993, intron 1 of 5)	intron (NM_020993, intron 1 of 5)	2120	NM_001024808	605	Hs.530970	NM_020993	ENSG00000110987	BCL7A	BCL7	BAF chromatin remodeling complex subunit BCL7A	protein-coding
chr4-25	chr4	49142468	49142652	+	11.6	0.945	Intergenic	(CATTC)n|Satellite|Satellite	153901	NM_001286791	80157	Hs.479703	NM_025087	ENSG00000109182	CWH43	CWH43-C|PGAP2IP	cell wall biogenesis 43 C-terminal homolog	protein-coding
chr9_gl000199_random-15	chr9_gl000199_random	110404	110588	+	11.6	0.972	NA	ALR/Alpha|Satellite|centr	NA	NA								
chr6-9	chr6	1637275	1637459	+	11.6	0.860	intron (NM_001253846, intron 9 of 10)	intron (NM_001253846, intron 9 of 10)	27217	NM_001453	2296	Hs.348883	NM_001453	ENSG00000054598	FOXC1	ARA|ASGD3|FKHL7|FREAC-3|FREAC3|IGDA|IHG1|IRID1|RIEG3	forkhead box C1	protein-coding
chr3-6	chr3	11208741	11208925	+	11.6	0.595	intron (NM_001098212, intron 1 of 1)	intron (NM_001098212, intron 1 of 1)	12654	NM_001098212	3269	Hs.1570	NM_000861	ENSG00000196639	HRH1	H1-R|H1R|HH1R|hisH1	histamine receptor H1	protein-coding
chr4-26	chr4	141056852	141057036	+	11.5	0.771	intron (NR_147610, intron 3 of 4)	intron (NR_147610, intron 3 of 4)	7775	NR_147610	101927516	Hs.662570	NR_147610		LOC101927516	-	uncharacterized LOC101927516	ncRNA
chr10-37	chr10	80988844	80989028	+	11.5	0.796	intron (NM_020338, intron 7 of 24)	intron (NM_020338, intron 7 of 24)	-118289	NM_005729	10105	Hs.381072	NM_005729	ENSG00000108179	PPIF	CYP3|CyP-M|Cyp-D|CypD	peptidylprolyl isomerase F	protein-coding
chr10-35	chr10	42356385	42356569	+	11.5	0.747	Intergenic	(CATTC)n|Satellite|Satellite	507016	NR_024380	441666	Hs.255729	NR_024380	ENSG00000215146	LOC441666	-	zinc finger protein 91 pseudogene	pseudo
chr19-18	chr19	18591224	18591408	+	11.5	0.814	intron (NM_006532, intron 1 of 11)	intron (NM_006532, intron 1 of 11)	41564	NM_006532	8178	Hs.515260	NM_006532	ENSG00000105656	ELL	C19orf17|ELL1|MEN|PPP1R68	elongation factor for RNA polymerase II	protein-coding
