PeakID (cmd=annotatePeaks.pl NEUROG3_peak0107_HIOE.filtered.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1-2399	chr5	147699643	147700056	+	0	NA	intron (NR_105057, intron 2 of 4)	L1P1|LINE|L1	7863	NM_032566	84651	Hs.244569	NM_032566	ENSG00000145879	SPINK7	ECG2|ECRG2	serine peptidase inhibitor, Kazal type 7 (putative)	protein-coding
1-6654	chr22	43082033	43082446	+	0	NA	Intergenic	Intergenic	34637	NR_146459	53947	Hs.105956	NM_017436	ENSG00000128274	A4GALT	A14GALT|A4GALT1|Gb3S|P(k)|P1|P1PK|PK	alpha 1,4-galactosyltransferase (P blood group)	protein-coding
1-6256	chr6	23566634	23567047	+	0	NA	Intergenic	Intergenic	-559603	NM_080723	140767	Hs.726270	NM_080723	ENSG00000152954	NRSN1	VMP|p24	neurensin 1	protein-coding
1-7479	chr11	44995183	44995596	+	0	NA	promoter-TSS (NR_026681)	promoter-TSS (NR_026681)	-64	NR_026681	221122	Hs.551656	NR_026681	ENSG00000254654	LINC02685	-	long intergenic non-protein coding RNA 2685	ncRNA
1-3650	chr1	967711	968124	+	0	NA	intron (NM_198576, intron 2 of 35)	intron (NM_198576, intron 2 of 35)	-1456	NM_001364727	375790	Hs.273330	NM_198576	ENSG00000188157	AGRN	AGRIN|CMS8|CMSPPD	agrin	protein-coding
1-4899	chr17	36715172	36715585	+	0	NA	intron (NM_025248, intron 10 of 18)	intron (NM_025248, intron 10 of 18)	46827	NM_025248	80725	Hs.448872	NM_025248	ENSG00000277363	SRCIN1	P140|SNIP	SRC kinase signaling inhibitor 1	protein-coding
1-1147	chr17	39346560	39346973	+	0	NA	exon (NM_001190460, exon 1 of 1)	exon (NM_001190460, exon 1 of 1)	627	NM_001190460	728318	Hs.727478	NM_001190460	ENSG00000240542	KRTAP9-1	KAP9.1|KRTAP9L3	keratin associated protein 9-1	protein-coding
1-4207	chr7	13678820	13679233	+	0	NA	Intergenic	Intergenic	347113	NM_001163152	2115	Hs.22634	NM_004956	ENSG00000006468	ETV1	ER81	ETS variant 1	protein-coding
1-384	chr4	141056744	141057157	+	0	NA	intron (NR_147610, intron 3 of 4)	intron (NR_147610, intron 3 of 4)	7781	NR_147610	101927516	Hs.662570	NR_147610		LOC101927516	-	uncharacterized LOC101927516	ncRNA
1-5515	chr22	42784378	42784791	+	0	NA	intron (NM_001318323, intron 3 of 4)	intron (NM_001318323, intron 3 of 4)	-19370	NR_120596	102723775	Hs.335413	NR_120595	ENSG00000229891	LINC01315	C22orf32-1|lnc-C22orf32-1	long intergenic non-protein coding RNA 1315	ncRNA
1-7167	chr2	70741769	70742182	+	0	NA	intron (NM_003236, intron 2 of 5)	intron (NM_003236, intron 2 of 5)	-33203	NR_046798	100874273	Hs.682157	NR_046798	ENSG00000224606	TGFA-IT1	-	TGFA intronic transcript 1	ncRNA
1-4451	chr19	39900875	39901288	+	0	NA	promoter-TSS (NR_039755)	promoter-TSS (NR_039755)	-763	NR_039755	100616163		NR_039755	ENSG00000266559	MIR4530	-	microRNA 4530	ncRNA
1-467	chr4	140656034	140656447	+	0	NA	intron (NM_018717, intron 2 of 4)	CpG	69267	NM_001204368	4258	Hs.81874	NM_002413	ENSG00000085871	MGST2	GST2|MGST-II	microsomal glutathione S-transferase 2	protein-coding
1-3052	chr1	38022285	38022698	+	0	NA	promoter-TSS (NM_003462)	promoter-TSS (NM_003462)	-50	NM_003462	7802	Hs.406050	NM_003462	ENSG00000163879	DNALI1	P28|dJ423B22.5|hp28	dynein axonemal light intermediate chain 1	protein-coding
1-1433	chr11	72489815	72490228	+	0	NA	intron (NM_006645, intron 2 of 6)	intron (NM_006645, intron 2 of 6)	-4554	NR_039841	100616410		NR_039841	ENSG00000265064	MIR4692	-	microRNA 4692	ncRNA
1-7242	chr3	133341067	133341480	+	0	NA	intron (NM_007027, intron 19 of 27)	AluSp|SINE|Alu	39512	NM_007027	11073	Hs.593379	NM_007027	ENSG00000163781	TOPBP1	Dpb11|TOP2BP1	DNA topoisomerase II binding protein 1	protein-coding
1-3227	chr13	81047734	81048147	+	0	NA	Intergenic	Intergenic	-132679	NM_005842	10253	Hs.18676	NM_005842	ENSG00000136158	SPRY2	IGAN3|hSPRY2	sprouty RTK signaling antagonist 2	protein-coding
1-5132	chr4	91985638	91986051	+	0	NA	intron (NM_001145065, intron 9 of 10)	MER68B|LTR|ERVL	829662	NM_207491	401145	Hs.654735	NM_207491	ENSG00000184305	CCSER1	FAM190A	coiled-coil serine rich protein 1	protein-coding
1-6493	chr14	25099885	25100298	+	0	NA	TTS (NR_144343)	TTS (NR_144343)	3305	NM_004131	3002	Hs.1051	NM_004131	ENSG00000100453	GZMB	C11|CCPI|CGL-1|CGL1|CSP-B|CSPB|CTLA1|CTSGL1|HLP|SECT	granzyme B	protein-coding
1-3320	chrX	54506077	54506490	+	0	NA	intron (NM_004463, intron 1 of 17)	intron (NM_004463, intron 1 of 17)	16384	NM_004463	2245	Hs.709201	NM_004463	ENSG00000102302	FGD1	AAS|FGDY|MRXS16|ZFYVE3	FYVE, RhoGEF and PH domain containing 1	protein-coding
1-1865	chr5	149808069	149808482	+	0	NA	Intergenic	Intergenic	-15776	NM_001025158	972	Hs.436568	NM_004355	ENSG00000019582	CD74	DHLAG|HLADG|II|Ia-GAMMA|p33	CD74 molecule	protein-coding
1-103	chr1	1143707	1144120	+	0	NA	Intergenic	Intergenic	-1941	NM_004195	8784	Hs.212680	NM_004195	ENSG00000186891	TNFRSF18	AITR|CD357|ENERGEN|GITR|GITR-D	TNF receptor superfamily member 18	protein-coding
1-878	chr8	103818866	103819279	+	0	NA	promoter-TSS (NR_149020)	promoter-TSS (NR_149020)	22	NR_149020	401472		NR_149020		GASAL1	GASL1	growth arrest associated lncRNA 1	ncRNA
1-1870	chr6	65214420	65214833	+	0	NA	intron (NM_001292009, intron 26 of 43)	intron (NM_001292009, intron 26 of 43)	697897	NR_157848	112935969		NR_157848		SCAT8	EYS-AS1	S-phase cancer associated transcript 8	ncRNA
1-3059	chr1	212098454	212098867	+	0	NA	Intergenic	Intergenic	94357	NR_135820	102723727	Hs.147656	NR_135818	ENSG00000229258	LPGAT1-AS1	-	LPGAT1 antisense RNA 1	ncRNA
1-135	chr7	1968135	1968548	+	0	NA	intron (NM_001304523, intron 16 of 17)	intron (NM_001304523, intron 16 of 17)	11866	NM_001304525	8379	Hs.654838	NM_003550	ENSG00000002822	MAD1L1	MAD1|PIG9|TP53I9|TXBP181	mitotic arrest deficient 1 like 1	protein-coding
1-6699	chr1	207205957	207206370	+	0	NA	promoter-TSS (NM_001083924)	promoter-TSS (NM_001083924)	-62	NM_023938	79098	Hs.32417	NM_023938	ENSG00000182795	C1orf116	SARG	chromosome 1 open reading frame 116	protein-coding
1-372	chr19	18591136	18591549	+	0	NA	intron (NM_006532, intron 1 of 11)	intron (NM_006532, intron 1 of 11)	41538	NM_006532	8178	Hs.515260	NM_006532	ENSG00000105656	ELL	C19orf17|ELL1|MEN|PPP1R68	elongation factor for RNA polymerase II	protein-coding
1-2730	chr17	6354233	6354646	+	0	NA	TTS (NM_001165966)	TTS (NM_001165966)	6664	NM_001195228	54478	Hs.592116	NM_019013	ENSG00000129195	PIMREG	CATS|FAM64A|RCS1	PICALM interacting mitotic regulator	protein-coding
1-1025	chr1	6086036	6086449	+	0	NA	promoter-TSS (NM_003636)	promoter-TSS (NM_003636)	-151	NM_172130	8514	Hs.440497	NM_003636	ENSG00000069424	KCNAB2	AKR6A5|HKvbeta2|HKvbeta2.1|HKvbeta2.2|KCNA2B|KV-BETA-2	potassium voltage-gated channel subfamily A regulatory beta subunit 2	protein-coding
1-3446	chr7	36221143	36221556	+	0	NA	intron (NM_030636, intron 2 of 7)	intron (NM_030636, intron 2 of 7)	28486	NM_030636	80820	Hs.487994	NM_030636	ENSG00000122547	EEPD1	HSPC107	endonuclease/exonuclease/phosphatase family domain containing 1	protein-coding
1-1190	chr5	95066836	95067249	+	0	NA	promoter-TSS (NM_014899)	promoter-TSS (NM_014899)	2	NM_014899	22836	Hs.445030	NM_014899	ENSG00000164292	RHOBTB3	-	Rho related BTB domain containing 3	protein-coding
1-7775	chr11	41858791	41859204	+	0	NA	Intergenic	MER58A|DNA|hAT-Charlie	122879	NR_120584	102723644	Hs.564283	NR_120584	ENSG00000255171	LINC01499	-	long intergenic non-protein coding RNA 1499	ncRNA
1-2380	chr3	189659362	189659775	+	0	NA	Intergenic	Intergenic	111857	NR_030642	100126340		NR_030642	ENSG00000216058	MIR944	MIRN944|hsa-mir-944|mir-944	microRNA 944	ncRNA
1-1148	chr17	72357183	72357596	+	0	NA	intron (NM_001080466, intron 1 of 2)	intron (NM_001080466, intron 1 of 2)	618	NM_001080466	388419		NM_001080466	ENSG00000204347	BTBD17	BTBD17A|LGALS3BPL|TANGO10A	BTB domain containing 17	protein-coding
1-981	chr3	140947991	140948404	+	0	NA	Intergenic	MLT1K|LTR|ERVL-MaLR	-2470	NM_152282	92370	Hs.657887	NM_152282	ENSG00000155893	PXYLP1	ACPL2|HEL124|XYLP	2-phosphoxylose phosphatase 1	protein-coding
1-1961	chr19	11457077	11457490	+	0	NA	promoter-TSS (NM_001321113)	promoter-TSS (NM_001321113)	88	NM_001080503	126075	Hs.631636	NM_001080503	ENSG00000183401	CCDC159	-	coiled-coil domain containing 159	protein-coding
1-3597	chr18	45622089	45622502	+	0	NA	intron (NM_001371291, intron 4 of 6)	intron (NM_001371291, intron 4 of 6)	41224	NM_001039360	201501	Hs.515388	NM_001039360	ENSG00000184828	ZBTB7C	APM-1|APM1|ZBTB36|ZNF857C	zinc finger and BTB domain containing 7C	protein-coding
1-3904	chr12	122667283	122667696	+	0	NA	promoter-TSS (NM_001098519)	promoter-TSS (NM_001098519)	-181	NM_001098519	254050	Hs.374856	NM_152759	ENSG00000158113	LRRC43	-	leucine rich repeat containing 43	protein-coding
1-7693	chrX	71528757	71529170	+	0	NA	Intergenic	Intergenic	-1956	NM_001144886	4435	Hs.40403	NM_004143	ENSG00000125931	CITED1	MSG1	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 1	protein-coding
1-4484	chr22	24059114	24059527	+	0	NA	non-coding (NR_024448, exon 1 of 12)	non-coding (NR_024448, exon 1 of 12)	290	NR_024448	91316	Hs.148656	NR_024448	ENSG00000228315	GUSBP11	-	GUSB pseudogene 11	pseudo
1-7848	chr6	126361906	126362319	+	0	NA	intron (NR_146803, intron 15 of 16)	intron (NR_146803, intron 15 of 16)	54426	NR_146803	60487	Hs.404186	NM_021820	ENSG00000066651	TRMT11	C6orf75|MDS024|TRM11|TRMT11-1	tRNA methyltransferase 11 homolog	protein-coding
1-1855	chr4	790811	791224	+	0	NA	intron (NM_006651, intron 2 of 3)	L2a|LINE|L2	-15381	NR_036511	100129917	Hs.731755	NR_036511	ENSG00000249592	LOC100129917	-	uncharacterized LOC100129917	ncRNA
1-5573	chr1	223809681	223810094	+	0	NA	intron (NM_001143962, intron 7 of 16)	intron (NM_001143962, intron 7 of 16)	43516	NM_001143962	388743	Hs.291487	NM_001143962	ENSG00000203697	CAPN8	nCL-2	calpain 8	protein-coding
1-1689	chr1	15416851	15417264	+	0	NA	intron (NM_201628, intron 8 of 14)	intron (NM_201628, intron 8 of 14)	61903	NR_027136	200197	Hs.531424	NM_182534	ENSG00000175147	TMEM51-AS1	C1orf126	TMEM51 antisense RNA 1	ncRNA
1-7670	chr21	40448590	40449003	+	0	NA	Intergenic	Intergenic	-99096	NR_109962	101928435	Hs.385528	NR_109962	ENSG00000232837	LINC01700	-	long intergenic non-protein coding RNA 1700	ncRNA
1-5421	chr17	4848586	4848999	+	0	NA	TTS (NM_005022)	TTS (NM_005022)	3589	NM_005022	5216	Hs.494691	NM_005022	ENSG00000108518	PFN1	ALS18	profilin 1	protein-coding
1-4211	chr7	32083212	32083625	+	0	NA	intron (NM_001322059, intron 3 of 17)	intron (NM_001322059, intron 3 of 17)	26601	NM_001191057	5137	Hs.143821	NM_005020	ENSG00000154678	PDE1C	DFNA74|Hcam3|cam-PDE 1C|hCam-3	phosphodiesterase 1C	protein-coding
1-6040	chr1	43753652	43754065	+	0	NA	Intergenic	MER91A|DNA|hAT-Tip100	-2606	NM_001164829	149466	Hs.158963	NM_182517	ENSG00000253313	C1orf210	TEMP	chromosome 1 open reading frame 210	protein-coding
1-5409	chr16	81666724	81667137	+	0	NA	intron (NM_030629, intron 3 of 20)	intron (NM_030629, intron 3 of 20)	21977	NR_106759	102465251		NR_106759	ENSG00000275109	MIR6504	hsa-mir-6504	microRNA 6504	ncRNA
1-6980	chr14	92863454	92863867	+	0	NA	intron (NM_153647, intron 3 of 17)	intron (NM_153647, intron 3 of 17)	73508	NM_153646	123041	Hs.385530	NM_153646	ENSG00000140090	SLC24A4	AI2A5|NCKX4|SHEP6|SLC24A2	solute carrier family 24 member 4	protein-coding
1-6855	chr7	91264127	91264540	+	0	NA	Intergenic	Intergenic	245683	NM_001301134	7978	Hs.532216	NM_006980	ENSG00000127989	MTERF1	MTERF	mitochondrial transcription termination factor 1	protein-coding
1-853	chr20	42999179	42999592	+	0	NA	intron (NM_175914, intron 1 of 9)	intron (NM_175914, intron 1 of 9)	14944	NM_001287183	3172	Hs.116462	NM_000457	ENSG00000101076	HNF4A	FRTS4|HNF4|HNF4a7|HNF4a8|HNF4a9|HNF4alpha|MODY|MODY1|NR2A1|NR2A21|TCF|TCF14	hepatocyte nuclear factor 4 alpha	protein-coding
1-583	chr13	106644012	106644425	+	0	NA	Intergenic	L2|LINE|L2	285039	NR_046391	144920	Hs.567700	NR_046391		LINC00343	LINC00344|NCRNA00343|NCRNA00344	long intergenic non-protein coding RNA 343	ncRNA
1-6842	chr7	1637969	1638382	+	0	NA	Intergenic	Intergenic	-15931	NR_001288	260341	Hs.534596	NR_001288		TFAMP1	MTTF1|TCF6L1	transcription factor A, mitochondrial pseudogene 1	pseudo
1-5774	chr9	90161723	90162136	+	0	NA	intron (NM_001288729, intron 2 of 25)	AluJb|SINE|Alu	-6440	NR_146781	100506897	Hs.656160	NR_146781	ENSG00000236709	DAPK1-IT1	-	DAPK1 intronic transcript 1	ncRNA
1-936	chr9	38620836	38621249	+	0	NA	promoter-TSS (NR_027294)	promoter-TSS (NR_027294)	-43	NR_027294	158228	Hs.632652	NR_027294		FAM201A	C9orf122	family with sequence similarity 201 member A	ncRNA
1-6913	chr10	127702167	127702580	+	0	NA	3' UTR (NM_003474, exon 23 of 23)	3' UTR (NM_003474, exon 23 of 23)	-40531	NR_102707	101410540	Hs.557889	NR_102707	ENSG00000233409	FANK1-AS1	-	FANK1 antisense RNA 1	ncRNA
1-5559	chr1	151653381	151653794	+	0	NA	intron (NM_030918, intron 7 of 11)	intron (NM_030918, intron 7 of 11)	35692	NM_001291106	11189	Hs.26047	NM_007185	ENSG00000159409	CELF3	BRUNOL1|CAGH4|ERDA4|ETR-1|TNRC4	CUGBP Elav-like family member 3	protein-coding
1-3639	chr22	33153068	33153481	+	0	NA	intron (NM_133633, intron 5 of 11)	HERVL-int|LTR|ERVL	-43528	NM_000362	7078	Hs.644633	NM_000362	ENSG00000100234	TIMP3	HSMRK222|K222|K222TA2|SFD	TIMP metallopeptidase inhibitor 3	protein-coding
1-5099	chr3	43327702	43328115	+	0	NA	promoter-TSS (NM_017719)	promoter-TSS (NM_017719)	-96	NM_001100594	54861	Hs.476052	NM_017719	ENSG00000163788	SNRK	HSNFRK	SNF related kinase	protein-coding
1-1007	chr13	51484156	51484569	+	0	NA	intron (NM_024570, intron 1 of 10)	CpG	486	NR_046552	100874255	Hs.741501	NR_046552		RNASEH2B-AS1	-	RNASEH2B antisense RNA 1	ncRNA
1-3174	chr10	48332175	48332588	+	0	NA	promoter-TSS (NR_134500)	promoter-TSS (NR_134500)	-184	NR_134500	107001062	Hs.576719	NR_134500		LOC107001062	-	uncharacterized LOC107001062	ncRNA
1-6115	chr2	113975954	113976367	+	0	NA	exon (NM_003466, exon 12 of 12)	exon (NM_003466, exon 12 of 12)	-16944	NR_047570	654433	Hs.656660	NR_015377	ENSG00000189223	PAX8-AS1	-	PAX8 antisense RNA 1	ncRNA
1-2755	chr19	13095984	13096397	+	0	NA	Intergenic	Intergenic	-10099	NM_001365902	4784	Hs.257970	NM_002501	ENSG00000008441	NFIX	CTF|MRSHSS|NF-I/X|NF1-X|NF1A|SOTOS2	nuclear factor I X	protein-coding
1-5687	chr5	156473119	156473532	+	0	NA	intron (NM_012206, intron 4 of 7)	intron (NM_012206, intron 4 of 7)	11927	NM_012206	26762	Hs.129711	NM_012206	ENSG00000113249	HAVCR1	CD365|HAVCR|HAVCR-1|KIM-1|KIM1|TIM|TIM-1|TIM1|TIMD-1|TIMD1	hepatitis A virus cellular receptor 1	protein-coding
1-7007	chr16	72106746	72107159	+	0	NA	intron (NM_020995, intron 1 of 4)	LTR10B|LTR|ERV1	9827	NM_020995	3250	Hs.655361	NM_020995	ENSG00000261701	HPR	A-259H10.2|HP	haptoglobin-related protein	protein-coding
1-6086	chr1	227751075	227751488	+	0	NA	promoter-TSS (NM_001367910)	promoter-TSS (NM_001367910)	24	NR_102302	339500	Hs.30323	NM_032755	ENSG00000181450	ZNF678	-	zinc finger protein 678	protein-coding
1-2540	chr20	61847577	61847990	+	0	NA	promoter-TSS (NM_017798)	promoter-TSS (NM_017798)	-300	NM_017798	54915	Hs.744852	NM_017798	ENSG00000149658	YTHDF1	C20orf21	YTH N6-methyladenosine RNA binding protein 1	protein-coding
1-5496	chr21	42932398	42932811	+	0	NA	Intergenic	MER5A|DNA|hAT-Charlie	-52519	NM_005656	7113	Hs.439309	NM_005656	ENSG00000184012	TMPRSS2	PP9284|PRSS10	transmembrane serine protease 2	protein-coding
1-2072	chr11	118404811	118405224	+	0	NA	exon (NM_001144034, exon 7 of 8)	exon (NM_001144034, exon 7 of 8)	3110	NM_032780	84866	Hs.564188	NM_032780	ENSG00000149582	TMEM25	-	transmembrane protein 25	protein-coding
1-5763	chr8	141467241	141467654	+	0	NA	intron (NM_031466, intron 1 of 22)	CpG	396	NM_001160372	83696	Hs.654911	NM_031466	ENSG00000167632	TRAPPC9	IBP|IKBKBBP|MRT13|NIBP|T1|TRS120	trafficking protein particle complex 9	protein-coding
1-3104	chr4	146019124	146019537	+	0	NA	promoter-TSS (NM_001256706)	promoter-TSS (NM_001256706)	18	NM_001256706	10393	Hs.480876	NM_014885	ENSG00000164162	ANAPC10	APC10|DOC1	anaphase promoting complex subunit 10	protein-coding
1-3069	chr2	55386374	55386787	+	0	NA	Intergenic	Intergenic	-21613	NM_001321904	57142	Hs.637850	NM_007008	ENSG00000115310	RTN4	ASY|NI220/250|NOGO|NSP|NSP-CL|Nbla00271|Nbla10545|RTN-X|RTN4-A|RTN4-B1|RTN4-B2|RTN4-C	reticulon 4	protein-coding
1-907	chr20	60982621	60983034	+	0	NA	promoter-TSS (NM_031215)	promoter-TSS (NM_031215)	-488	NM_031215	81928	Hs.301040	NM_031215	ENSG00000149679	CABLES2	C20orf150|dJ908M14.2|ik3-2	Cdk5 and Abl enzyme substrate 2	protein-coding
1-1393	chr2	220263834	220264247	+	0	NA	intron (NM_001319117, intron 1 of 13)	intron (NM_001319117, intron 1 of 13)	689	NM_001319117	23549	Hs.258551	NM_012100	ENSG00000123992	DNPEP	ASPEP|DAP	aspartyl aminopeptidase	protein-coding
1-5123	chr4	9727743	9728156	+	0	NA	Intergenic	MER21-int|LTR|ERVL	-55309	NM_000798	1816	Hs.380681	NM_000798	ENSG00000169676	DRD5	DBDR|DRD1B|DRD1L2	dopamine receptor D5	protein-coding
1-1211	chr9	2299106	2299519	+	0	NA	Intergenic	Intergenic	140856	NM_001289400	6595	Hs.298990	NM_003070	ENSG00000080503	SMARCA2	BAF190|BRM|NCBRS|SNF2|SNF2L2|SNF2LA|SWI2|Sth1p|hBRM|hSNF2a	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2	protein-coding
1-3981	chr17	77783584	77783997	+	0	NA	Intergenic	Intergenic	-12914	NM_020649	57332	Hs.387258	NM_020649	ENSG00000141570	CBX8	PC3|RC1	chromobox 8	protein-coding
1-3062	chr1	229003829	229004242	+	0	NA	Intergenic	Intergenic	132809	NM_021205	58480	Hs.647774	NM_021205	ENSG00000116574	RHOU	ARHU|CDC42L1|G28K|WRCH1|hG28K	ras homolog family member U	protein-coding
1-4347	chr13	33661230	33661643	+	0	NA	Intergenic	Intergenic	70875	NM_004795	9365	Hs.524953	NM_004795	ENSG00000133116	KL	HFTC3	klotho	protein-coding
1-4668	chr6	158488634	158489047	+	0	NA	intron (NM_001178088, intron 11 of 25)	intron (NM_001178088, intron 11 of 25)	50715	NM_001178088	8871	Hs.434494	NM_003898	ENSG00000078269	SYNJ2	INPP5H	synaptojanin 2	protein-coding
1-5617	chr3	12910521	12910934	+	0	NA	Intergenic	Intergenic	15983	NR_136189	105376955	Hs.561179	NR_136189	ENSG00000232746	LINC02022	-	long intergenic non-protein coding RNA 2022	ncRNA
1-4229	chr7	158061866	158062279	+	0	NA	intron (NM_001308267, intron 2 of 21)	intron (NM_001308267, intron 2 of 21)	263433	NR_030325	693180		NR_030325	ENSG00000207637	MIR595	MIRN595|hsa-mir-595	microRNA 595	ncRNA
1-4427	chr17	74609736	74610149	+	0	NA	Intergenic	Intergenic	-28000	NM_006456	10610	Hs.592105	NM_006456	ENSG00000070731	ST6GALNAC2	SAITL1|SIAT7|SIAT7B|SIATL1|ST6GalNAII|STHM	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 2	protein-coding
1-3370	chr2	202013138	202013551	+	0	NA	intron (NR_147253, intron 6 of 10)	intron (NR_147253, intron 6 of 10)	8346	NM_001202515	8837	Hs.390736	NM_003879	ENSG00000003402	CFLAR	CASH|CASP8AP1|CLARP|Casper|FLAME|FLAME-1|FLAME1|FLIP|I-FLICE|MRIT|c-FLIP|c-FLIPL|c-FLIPR|c-FLIPS|cFLIP	CASP8 and FADD like apoptosis regulator	protein-coding
1-126	chr20	20529312	20529725	+	0	NA	intron (NM_020343, intron 23 of 39)	intron (NM_020343, intron 23 of 39)	163769	NM_020343	57186	Hs.472285	NM_020343	ENSG00000188559	RALGAPA2	AS250|C20orf74|bA287B20.1|dJ1049G11|dJ1049G11.4|p220	Ral GTPase activating protein catalytic alpha subunit 2	protein-coding
1-3801	chr7	75923907	75924320	+	0	NA	Intergenic	Intergenic	-7877	NM_001540	3315	Hs.520973	NM_001540	ENSG00000106211	HSPB1	CMT2F|HEL-S-102|HMN2B|HS.76067|HSP27|HSP28|Hsp25|SRP27	heat shock protein family B (small) member 1	protein-coding
1-1146	chr17	39323775	39324188	+	0	NA	exon (NM_033187, exon 1 of 1)	exon (NM_033187, exon 1 of 1)	492	NM_033187	85290	Hs.307023	NM_033187	ENSG00000196156	KRTAP4-3	KAP4.3	keratin associated protein 4-3	protein-coding
1-2154	chr22	23624296	23624709	+	0	NA	intron (NM_004327, intron 8 of 22)	intron (NM_004327, intron 8 of 22)	19548	NR_033408	26226	Hs.729589	NR_033408	ENSG00000230701	FBXW4P1	FBW3|FBXW3|SHFM3P1	F-box and WD repeat domain containing 4 pseudogene 1	pseudo
1-1279	chr2	47243700	47244113	+	0	NA	intron (NM_020458, intron 11 of 19)	L3|LINE|CR1	-74912	NM_001171508	90411	Hs.662152	NM_139279	ENSG00000180398	MCFD2	F5F8D|F5F8D2|LMAN1IP|SDNSF	multiple coagulation factor deficiency 2	protein-coding
1-3126	chr6	45441277	45441690	+	0	NA	intron (NM_001024630, intron 5 of 8)	intron (NM_001024630, intron 5 of 8)	51471	NM_001369405	860	Hs.535845	NM_004348	ENSG00000124813	RUNX2	AML3|CBF-alpha-1|CBFA1|CCD|CCD1|CLCD|OSF-2|OSF2|PEA2aA|PEBP2aA	RUNX family transcription factor 2	protein-coding
1-1742	chr10	21483371	21483784	+	0	NA	Intergenic	Intergenic	20346	NR_046284	100128511	Hs.635827	NR_046283	ENSG00000231920	NEBL-AS1	-	NEBL antisense RNA 1	ncRNA
1-2548	chr22	23378813	23379226	+	0	NA	Intergenic	Intergenic	-33686	NM_002073	2781	Hs.584760	NM_002073	ENSG00000128266	GNAZ	gz-alpha	G protein subunit alpha z	protein-coding
1-6226	chr5	93136650	93137063	+	0	NA	intron (NM_032042, intron 8 of 10)	intron (NM_032042, intron 8 of 10)	-59550	NM_153216	134187	Hs.678995	NM_153216	ENSG00000248483	POU5F2	SPRM-1	POU domain class 5, transcription factor 2	protein-coding
1-6498	chr14	50588129	50588542	+	0	NA	intron (NM_006939, intron 21 of 22)	L2|LINE|L2	-5045	NM_024558	79609	Hs.558541	NM_024558	ENSG00000100483	VCPKMT	C14orf138|METTL21D|VCP-KMT	valosin containing protein lysine methyltransferase	protein-coding
1-5931	chr16	88459629	88460042	+	0	NA	Intergenic	Intergenic	-34044	NM_001367624	84627	Hs.54925	NM_001127464	ENSG00000225614	ZNF469	BCS|BCS1	zinc finger protein 469	protein-coding
1-4115	chr2	151196515	151196928	+	0	NA	Intergenic	Intergenic	-83200	NR_146972	105373683		NR_146972	ENSG00000231420	LINC01817	-	long intergenic non-protein coding RNA 1817	ncRNA
1-5071	chr2	129171260	129171673	+	0	NA	Intergenic	Intergenic	-95024	NM_004807	9394	Hs.512841	NM_004807	ENSG00000136720	HS6ST1	HH15|HS6ST	heparan sulfate 6-O-sulfotransferase 1	protein-coding
1-6786	chr4	140065972	140066385	+	0	NA	intron (NM_001371336, intron 1 of 8)	L1PBa|LINE|L1	32194	NM_001371339								
1-3385	chr3	71184523	71184936	+	0	NA	intron (NR_146142, intron 6 of 19)	intron (NR_146142, intron 6 of 19)	-3381	NM_001349343	27086	Hs.59368	NM_032682	ENSG00000114861	FOXP1	12CC4|HSPC215|MFH|QRF1|hFKH1B	forkhead box P1	protein-coding
1-3965	chr17	45897781	45898194	+	0	NA	intron (NM_145798, intron 1 of 22)	intron (NM_145798, intron 1 of 22)	1173	NM_145798	114881	Hs.463320	NM_017731	ENSG00000006025	OSBPL7	ORP7	oxysterol binding protein like 7	protein-coding
