PeakID (cmd=annotatePeaks.pl 09-17ngn3_30M_peaksfdr0.05.txt hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr20-8	chr20	50294993	50295225	+	24.9	0.877	intron (NM_006045, intron 9 of 27)	intron (NM_006045, intron 9 of 27)	89841	NM_006045	10079	Hs.649234	NM_006045	ENSG00000054793	ATP9A	ATPIIA	ATPase phospholipid transporting 9A (putative)	protein-coding
chr14-5	chr14	48594917	48595149	+	24.8	0.927	Intergenic	Intergenic	-330816	NR_039996	100506433	Hs.547419	NR_039996	ENSG00000259129	LINC00648	-	long intergenic non-protein coding RNA 648	ncRNA
chr2-21	chr2	131502171	131502403	+	24.8	0.915	Intergenic	Intergenic	-10790	NM_152698	205147	Hs.369289	NM_152698	ENSG00000178171	AMER3	FAM123C	APC membrane recruitment protein 3	protein-coding
chr7-8	chr7	95237985	95238217	+	24.7	0.894	Intergenic	Intergenic	-12176	NM_002612	5166	Hs.8364	NM_002612	ENSG00000004799	PDK4	-	pyruvate dehydrogenase kinase 4	protein-coding
chr3-5	chr3	87945126	87945358	+	24.7	0.914	intron (NM_001322208, intron 2 of 2)	intron (NM_001322208, intron 2 of 2)	-86484	NM_000866	3355	Hs.248136	NM_000866	ENSG00000179097	HTR1F	5-HT-1F|5-HT1F|5HT6|HTR1EL|MR77	5-hydroxytryptamine receptor 1F	protein-coding
chr9-3	chr9	101935042	101935274	+	24.7	0.903	Intergenic	Intergenic	49088	NR_024532	85365	Hs.40919	NM_033087	ENSG00000119523	ALG2	CDG1I|CDGIi|CMS14|CMSTA3|NET38|hALPG2	ALG2, alpha-1,3/1,6-mannosyltransferase	protein-coding
chr5-7	chr5	93721585	93721817	+	24.6	0.902	intron (NM_001145678, intron 19 of 20)	intron (NM_001145678, intron 19 of 20)	232608	NM_173665	285600	Hs.425123	NM_173665	ENSG00000185261	KIAA0825	C5orf36	KIAA0825	protein-coding
chr2-22	chr2	173099647	173099879	+	24.6	0.841	Intergenic	CpG	132029	NR_126376	104326193	Hs.600690	NR_126376	ENSG00000236651	DLX2-DT	DLX2-AS1|TCONS_00003049	DLX2 divergent transcript	ncRNA
chr5-8	chr5	123935316	123935548	+	24.6	0.875	Intergenic	Intergenic	145373	NM_020747	57507	Hs.266616	NM_020747	ENSG00000168916	ZNF608	NY-REN-36	zinc finger protein 608	protein-coding
chr1-21	chr1	90455418	90455650	+	24.6	0.919	Intergenic	L2b|LINE|L2	4991	NR_002830	492303	Hs.550796	NR_002830		GEMIN8P4	-	gem nuclear organelle associated protein 8 pseudogene 4	pseudo
chr14-6	chr14	54605479	54605711	+	24.5	0.887	Intergenic	Intergenic	-181986	NM_001347912	652	Hs.68879	NM_001202	ENSG00000125378	BMP4	BMP2B|BMP2B1|MCOPS6|OFC11|ZYME	bone morphogenetic protein 4	protein-coding
chr1-22	chr1	182248890	182249122	+	24.4	0.933	intron (NR_104175, intron 2 of 2)	intron (NR_104175, intron 2 of 2)	34190	NR_104175	400799	Hs.634884	NR_104175	ENSG00000228918	LINC01344	GS1-122H1.2	long intergenic non-protein coding RNA 1344	ncRNA
chr5-9	chr5	159714876	159715108	+	24.4	0.897	intron (NR_131769, intron 2 of 7)	intron (NR_131769, intron 2 of 7)	24615	NM_001308173	79616	Hs.14070	NM_024565	ENSG00000135083	CCNJL	-	cyclin J like	protein-coding
chr20-9	chr20	53971235	53971467	+	24.3	0.817	Intergenic	Intergenic	-68230	NR_110629	102723578	Hs.446269	NR_110629	ENSG00000235166	LINC01440	-	long intergenic non-protein coding RNA 1440	ncRNA
chr6-13	chr6	20575506	20575738	+	24.2	0.954	intron (NM_017774, intron 4 of 15)	intron (NM_017774, intron 4 of 15)	40934	NM_017774	54901	Hs.657604	NM_017774	ENSG00000145996	CDKAL1	-	CDK5 regulatory subunit associated protein 1 like 1	protein-coding
chr6-14	chr6	16102487	16102719	+	24.2	0.911	Intergenic	Intergenic	-26714	NM_013262	29116	Hs.484738	NM_013262	ENSG00000007944	MYLIP	IDOL|MIR	myosin regulatory light chain interacting protein	protein-coding
chr5-10	chr5	143018293	143018525	+	24.2	0.820	Intergenic	MER1A|DNA|hAT-Charlie	-41016	NR_049829	100846991		NR_049829	ENSG00000266478	MIR5197	-	microRNA 5197	ncRNA
chr1-23	chr1	163103653	163103885	+	24.2	0.803	Intergenic	X3_LINE|LINE|RTE-BovB	-27696	NR_110699	101928404	Hs.683933	NR_110699	ENSG00000232892	LOC101928404	-	uncharacterized LOC101928404	ncRNA
chr2-23	chr2	163332261	163332493	+	23.9	0.880	intron (NM_033272, intron 6 of 15)	intron (NM_033272, intron 6 of 15)	131486	NM_001330270	25801	Hs.377894	NM_012198	ENSG00000115271	GCA	GCL	grancalcin	protein-coding
chr2-24	chr2	180045015	180045247	+	23.9	0.890	intron (NM_178123, intron 3 of 17)	intron (NM_178123, intron 3 of 17)	84219	NM_178123	91404	Hs.30977	NM_178123	ENSG00000187231	SESTD1	SOLO	SEC14 and spectrin domain containing 1	protein-coding
chr1-24	chr1	44030420	44030652	+	23.9	0.838	intron (NM_001329137, intron 6 of 34)	intron (NM_001329137, intron 6 of 34)	34005	NM_130440	5792	Hs.272062	NM_002840	ENSG00000142949	PTPRF	BNAH2|LAR	protein tyrosine phosphatase, receptor type F	protein-coding
chr17-8	chr17	2863530	2863762	+	23.9	0.901	intron (NM_001100398, intron 4 of 23)	intron (NM_001100398, intron 4 of 23)	5543	NR_110818	101927911	Hs.626373	NR_110818	ENSG00000262884	LOC101927911	-	uncharacterized LOC101927911	ncRNA
chr4-6	chr4	14695126	14695358	+	23.9	0.836	intron (NR_126435, intron 3 of 6)	LTR50|LTR|ERVL	194551	NR_126435	201853	Hs.551051	NR_126435	ENSG00000248360	LINC00504	-	long intergenic non-protein coding RNA 504	ncRNA
chr10-23	chr10	95205376	95205608	+	23.8	0.932	intron (NM_013451, intron 3 of 53)	intron (NM_013451, intron 3 of 53)	36582	NM_013451	26509	Hs.602086	NM_013451	ENSG00000138119	MYOF	FER1L3	myoferlin	protein-coding
chr9-6	chr9	127113211	127113443	+	23.8	0.789	3' UTR (NM_014397, exon 10 of 10)	3' UTR (NM_014397, exon 10 of 10)	-2425	NR_027406	100129034	Hs.654980	NR_027406		LOC100129034	-	uncharacterized LOC100129034	ncRNA
chr9-5	chr9	114045463	114045695	+	23.8	0.790	Intergenic	Intergenic	-12085	NR_106989	102465800		NR_106989	ENSG00000274263	MIR7702	hsa-mir-7702	microRNA 7702	ncRNA
chr16-35	chr16	11246207	11246439	+	23.7	0.763	intron (NM_015226, intron 21 of 22)	intron (NM_015226, intron 21 of 22)	103716	NM_003745	8651	Hs.50640	NM_003745	ENSG00000185338	SOCS1	CIS1|CISH1|JAB|SOCS-1|SSI-1|SSI1|TIP-3|TIP3	suppressor of cytokine signaling 1	protein-coding
chr12-5	chr12	119444673	119444905	+	23.7	0.921	intron (NM_194286, intron 1 of 12)	intron (NM_194286, intron 1 of 12)	25489	NM_194286	84530	Hs.744964	NM_194286	ENSG00000139767	SRRM4	KIAA1853|MU-MB-2.76|nSR100	serine/arginine repetitive matrix 4	protein-coding
chr4-7	chr4	105050077	105050309	+	23.7	0.845	Intergenic	Intergenic	-361929	NR_125926	101929468	Hs.480435	NR_125926	ENSG00000245384	CXXC4-AS1	-	CXXC4 antisense RNA 1	ncRNA
chr2-25	chr2	55336734	55336966	+	23.6	0.814	intron (NM_001321904, intron 1 of 9)	intron (NM_001321904, intron 1 of 9)	28117	NM_001321904	57142	Hs.637850	NM_007008	ENSG00000115310	RTN4	ASY|NI220/250|NOGO|NSP|NSP-CL|Nbla00271|Nbla10545|RTN-X|RTN4-A|RTN4-B1|RTN4-B2|RTN4-C	reticulon 4	protein-coding
chr3-6	chr3	119933935	119934167	+	23.5	0.917	intron (NM_153002, intron 2 of 8)	intron (NM_153002, intron 2 of 8)	29091	NM_001168271	165829	Hs.333358	NM_153002	ENSG00000175697	GPR156	GABABL|PGR28	G protein-coupled receptor 156	protein-coding
chr2-26	chr2	217630759	217630991	+	23.3	0.856	Intergenic	Intergenic	-70603	NM_000599	3488	Hs.607212	NM_000599	ENSG00000115461	IGFBP5	IBP5	insulin like growth factor binding protein 5	protein-coding
chr8-15	chr8	102952754	102952986	+	23.2	0.918	intron (NM_001040630, intron 2 of 5)	intron (NM_001040630, intron 2 of 5)	-43790	NR_126152	104054148	Hs.683917	NR_126152		LOC104054148	-	uncharacterized LOC104054148	ncRNA
chr10-25	chr10	131669157	131669389	+	23.1	0.846	intron (NM_001005463, intron 8 of 15)	intron (NM_001005463, intron 8 of 15)	-27635	NR_036179	100422873		NR_036179	ENSG00000266676	MIR4297	-	microRNA 4297	ncRNA
chr17-10	chr17	39323839	39324071	+	23.1	0.782	exon (NM_033187, exon 1 of 1)	exon (NM_033187, exon 1 of 1)	469	NM_033187	85290	Hs.307023	NM_033187	ENSG00000196156	KRTAP4-3	KAP4.3	keratin associated protein 4-3	protein-coding
chr2-28	chr2	80277487	80277719	+	23.0	0.865	intron (NM_001282598, intron 7 of 17)	intron (NM_001282598, intron 7 of 17)	-183894	NR_107047	102465877		NR_107047	ENSG00000276917	MIR8080	hsa-mir-8080	microRNA 8080	ncRNA
chr10-26	chr10	25550980	25551212	+	23.0	0.922	intron (NM_020752, intron 2 of 10)	intron (NM_020752, intron 2 of 10)	-85891	NR_027333	100128811	Hs.700407	NR_027333	ENSG00000233642	GPR158-AS1	-	GPR158 antisense RNA 1	ncRNA
chr1-25	chr1	39738014	39738246	+	22.9	0.899	intron (NM_012090, intron 5 of 92)	intron (NM_012090, intron 5 of 92)	-137046	NM_015038	643314	Hs.658760	NM_015038	ENSG00000127603	KIAA0754	-	KIAA0754	protein-coding
chr3-8	chr3	42067179	42067411	+	22.8	0.930	Intergenic	Intergenic	-61397	NR_146089	22906	Hs.535711	NM_014965	ENSG00000182606	TRAK1	MILT1|OIP106	trafficking kinesin protein 1	protein-coding
chr2-27	chr2	118940584	118940816	+	22.7	0.873	non-coding (NR_144530, exon 3 of 3)	non-coding (NR_144530, exon 3 of 3)	3262	NR_144530	100506797	Hs.116176	NR_144530	ENSG00000226856	LOC100506797	-	uncharacterized LOC100506797	ncRNA
chr2-29	chr2	37812422	37812654	+	22.7	0.788	Intergenic	Intergenic	86804	NM_001270438	10602	Hs.369574	NM_006449	ENSG00000163171	CDC42EP3	BORG2|CEP3|UB1	CDC42 effector protein 3	protein-coding
chr6-15	chr6	170606320	170606552	+	22.7	0.861	intron (NM_001286380, intron 1 of 10)	CpG	2027	NM_001286380	84498	Hs.369522	NM_032448	ENSG00000112584	FAM120B	CCPG|KIAA1838|PGCC1|dJ894D12.1	family with sequence similarity 120B	protein-coding
chr9-7	chr9	85549891	85550123	+	22.7	0.953	Intergenic	Intergenic	128036	NM_152573	158158	Hs.129136	NM_152573	ENSG00000165105	RASEF	RAB45	RAS and EF-hand domain containing	protein-coding
chr16-37	chr16	71289841	71290073	+	22.7	0.891	Intergenic	Intergenic	-25332	NM_017558	54768	Hs.351914	NM_017558	ENSG00000157423	HYDIN	CILD5|HYDIN1|HYDIN2|PPP1R31	HYDIN, axonemal central pair apparatus protein	protein-coding
chr3-7	chr3	73671431	73671663	+	22.6	0.755	intron (NM_015009, intron 1 of 9)	intron (NM_015009, intron 1 of 9)	-1172	NR_046681	101927249	Hs.733334	NR_046681		PDZRN3-AS1	-	PDZRN3 antisense RNA 1	ncRNA
chr13-2	chr13	39519712	39519944	+	22.6	0.834	Intergenic	Intergenic	45168	NM_001144033	161003	Hs.327794	NM_145286	ENSG00000133115	STOML3	Epb7.2l|SRO	stomatin like 3	protein-coding
chr5-12	chr5	154850749	154850981	+	22.5	0.836	Intergenic	Intergenic	457550	NM_001099293	285643	Hs.567824	NM_001099293	ENSG00000226650	KIF4B	-	kinesin family member 4B	protein-coding
chr20-11	chr20	16009413	16009645	+	22.5	0.837	intron (NM_001033087, intron 11 of 13)	intron (NM_001033087, intron 11 of 13)	-43002	NR_130924	613266	Hs.309149	NR_130924		LOC613266	-	uncharacterized LOC613266	ncRNA
chr11-7	chr11	86389398	86389630	+	22.4	0.837	Intergenic	Intergenic	-5836	NM_001351934	10873	Hs.199743	NM_006680	ENSG00000151376	ME3	NADP-ME	malic enzyme 3	protein-coding
chr15-7	chr15	93210531	93210763	+	22.4	0.846	Intergenic	Intergenic	-11616	NM_207446	400451	Hs.27373	NM_207446	ENSG00000185442	FAM174B	-	family with sequence similarity 174 member B	protein-coding
chr16-38	chr16	84956525	84956757	+	22.2	0.744	Intergenic	Intergenic	88500	NM_017740	55625	Hs.461610	NM_017740	ENSG00000153786	ZDHHC7	DHHC7|SERZ-B|SERZ1|ZNF370	zinc finger DHHC-type containing 7	protein-coding
chr1-27	chr1	210028837	210029069	+	22.2	0.679	3' UTR (NM_014388, exon 12 of 12)	3' UTR (NM_014388, exon 12 of 12)	27641	NM_014388	27042	Hs.194754	NM_014388	ENSG00000117597	UTP25	C1orf107|DEF|DIEXF|DJ434O14.5	UTP25, small subunit processor component	protein-coding
chr14-7	chr14	84172899	84173131	+	22.2	0.842	Intergenic	Intergenic	1064039	NR_146650	101928599		NR_146650	ENSG00000258743	LINC02301	-	long intergenic non-protein coding RNA 2301	ncRNA
chr7-10	chr7	47219413	47219645	+	22.1	0.856	Intergenic	Intergenic	284872	NR_145813	109623468		NR_145813		SNORD151	-	small nucleolar RNA, C/D box 151	snoRNA
chr1-26	chr1	150540204	150540436	+	22.1	0.958	intron (NR_104133, intron 2 of 3)	intron (NR_104133, intron 2 of 3)	6708	NR_104133	574406	Hs.516243	NM_001025493	ENSG00000203804	ADAMTSL4-AS1	C1orf138	ADAMTSL4 antisense RNA 1	ncRNA
chr7-9	chr7	37023817	37024049	+	22.0	0.882	intron (NM_001206482, intron 16 of 21)	intron (NM_001206482, intron 16 of 21)	784	NM_001039459	9844	Hs.434989	NM_014800	ENSG00000155849	ELMO1	CED-12|CED12|ELMO-1	engulfment and cell motility 1	protein-coding
chr22-4	chr22	26790738	26790970	+	22.0	0.887	Intergenic	Intergenic	-34426	NM_020437	57168	Hs.567547	NM_020437	ENSG00000128203	ASPHD2	-	aspartate beta-hydroxylase domain containing 2	protein-coding
chr5-11	chr5	124071251	124071483	+	22.0	0.799	intron (NM_020747, intron 1 of 8)	intron (NM_020747, intron 1 of 8)	9438	NM_020747	57507	Hs.266616	NM_020747	ENSG00000168916	ZNF608	NY-REN-36	zinc finger protein 608	protein-coding
chr1-28	chr1	158029834	158030066	+	21.9	0.889	intron (NM_001286349, intron 1 of 12)	intron (NM_001286349, intron 1 of 12)	34610	NR_145471	100505785	Hs.664656	NR_145471		KIRREL1-IT1	KIRREL-IT1	KIRREL1 intronic transcript 1	ncRNA
chr18-8	chr18	42322718	42322950	+	21.8	0.691	intron (NM_015559, intron 2 of 5)	intron (NM_015559, intron 2 of 5)	61971	NM_015559	26040	Hs.435458	NM_015559	ENSG00000152217	SETBP1	MRD29|SEB	SET binding protein 1	protein-coding
chr17-11	chr17	52681155	52681387	+	21.7	0.791	Intergenic	Intergenic	-296781	NM_001321175	10040	Hs.153504	NM_005486	ENSG00000141198	TOM1L1	SRCASM	target of myb1 like 1 membrane trafficking protein	protein-coding
chr3-9	chr3	32257690	32257922	+	21.7	0.807	Intergenic	Intergenic	-22365	NM_178868	152189	Hs.154986	NM_178868	ENSG00000170293	CMTM8	CKLFSF8|CKLFSF8-V2	CKLF like MARVEL transmembrane domain containing 8	protein-coding
chr12-6	chr12	90647416	90647648	+	21.6	0.857	Intergenic	Intergenic	-39563	NR_135018	105369893	Hs.577777	NR_135018		LINC02392	-	long intergenic non-protein coding RNA 2392	ncRNA
chr5-13	chr5	152012051	152012283	+	21.6	0.929	intron (NR_109877, intron 4 of 4)	intron (NR_109877, intron 4 of 4)	-227327	NM_020167	56923	Hs.731911	NM_020167	ENSG00000132911	NMUR2	FM-4|FM4|NMU-R2|NMU2R|TGR-1|TGR1	neuromedin U receptor 2	protein-coding
chr8-16	chr8	67392325	67392557	+	21.6	0.891	Intergenic	Intergenic	-13050	NM_152765	254778	Hs.268869	NM_152765	ENSG00000169085	VXN	C8orf46	vexin	protein-coding
chr7-11	chr7	23841858	23842090	+	21.5	0.905	intron (NM_001260505, intron 22 of 22)	LTR21A|LTR|ERV1	92029	NM_001260504	56164	Hs.309767	NM_031414	ENSG00000196335	STK31	SGK396|TDRD8	serine/threonine kinase 31	protein-coding
chr10-28	chr10	127859472	127859704	+	21.5	0.870	intron (NM_001288973, intron 3 of 22)	intron (NM_001288973, intron 3 of 22)	-197746	NR_102707	101410540	Hs.557889	NR_102707	ENSG00000233409	FANK1-AS1	-	FANK1 antisense RNA 1	ncRNA
chr12-7	chr12	117945304	117945536	+	21.5	0.851	intron (NM_173598, intron 14 of 19)	intron (NM_173598, intron 14 of 19)	-145813	NM_001204218	4842	Hs.654410	NM_000620	ENSG00000089250	NOS1	IHPS1|N-NOS|NC-NOS|NOS|bNOS|nNOS	nitric oxide synthase 1	protein-coding
chr20-12	chr20	13630252	13630484	+	21.4	0.904	Intergenic	Intergenic	-10785	NM_017714	55617	Hs.348297	NM_017714	ENSG00000089123	TASP1	C20orf13|dJ585I14.2	taspase 1	protein-coding
chr12-8	chr12	113697564	113697796	+	21.4	0.792	intron (NM_001351347, intron 1 of 26)	MLT1K|LTR|ERVL-MaLR	15507	NM_001351347	53373	Hs.524763	NM_017901	ENSG00000186815	TPCN1	TPC1	two pore segment channel 1	protein-coding
chr1-29	chr1	167167946	167168178	+	21.4	0.875	Intergenic	Intergenic	-3020	NR_110811	101928484	Hs.568496	NR_110811		LINC01363	RBSG4	long intergenic non-protein coding RNA 1363	ncRNA
chr2-30	chr2	205882109	205882341	+	21.4	0.769	intron (NM_057177, intron 3 of 21)	intron (NM_057177, intron 3 of 21)	471709	NM_001302769	117583	Hs.657382	NM_057177	ENSG00000116117	PARD3B	ALS2CR19|PAR3B|PAR3L|PAR3beta	par-3 family cell polarity regulator beta	protein-coding
chr9-8	chr9	22374003	22374235	+	21.4	0.786	Intergenic	Intergenic	-72721	NM_022160	63951	Hs.371976	NM_022160	ENSG00000176399	DMRTA1	DMO|DMRT4	DMRT like family A1	protein-coding
chr16-41	chr16	64240828	64241060	+	21.3	0.885	Intergenic	Intergenic	915096	NM_001330576	1009	Hs.116471	NM_001797	ENSG00000140937	CDH11	CAD11|CDHOB|OB|OSF-4	cadherin 11	protein-coding
chr3-10	chr3	11208717	11208949	+	21.3	0.620	intron (NM_001098212, intron 1 of 1)	intron (NM_001098212, intron 1 of 1)	12619	NM_001098212	3269	Hs.1570	NM_000861	ENSG00000196639	HRH1	H1-R|H1R|HH1R|hisH1	histamine receptor H1	protein-coding
chr4-10	chr4	184540542	184540774	+	21.3	0.874	Intergenic	Intergenic	39714	NM_152682	201965	Hs.133337	NM_152682	ENSG00000182552	RWDD4	FAM28A|RWDD4A	RWD domain containing 4	protein-coding
chr11-10	chr11	27237864	27238096	+	21.3	0.824	intron (NR_125767, intron 2 of 4)	intron (NR_125767, intron 2 of 4)	2335	NR_125768	103695435	Hs.196133	NR_125766	ENSG00000254560	BBOX1-AS1	-	BBOX1 antisense RNA 1	ncRNA
chr5-14	chr5	16855756	16855988	+	21.3	0.906	intron (NM_012334, intron 2 of 40)	intron (NM_012334, intron 2 of 40)	80513	NM_012334	4651	Hs.481720	NM_012334	ENSG00000145555	MYO10	-	myosin X	protein-coding
chr14-8	chr14	51676263	51676495	+	21.3	0.703	Intergenic	Intergenic	-30507	NM_030755	81542	Hs.125221	NM_030755	ENSG00000139921	TMX1	PDIA11|TMX|TXNDC|TXNDC1	thioredoxin related transmembrane protein 1	protein-coding
chr15-8	chr15	64233255	64233487	+	21.3	0.784	intron (NM_014326, intron 4 of 11)	intron (NM_014326, intron 4 of 11)	12898	NR_120344	101928988	Hs.673214	NR_120344	ENSG00000259351	LOC101928988	-	uncharacterized LOC101928988	ncRNA
chr11-9	chr11	63686749	63686981	+	21.3	0.900	Intergenic	Intergenic	-2549	NM_173587	283248	Hs.98788	NM_173587	ENSG00000167771	RCOR2	-	REST corepressor 2	protein-coding
chr11-12	chr11	97643739	97643971	+	21.3	0.917	Intergenic	Intergenic	-1247851	NM_001243271	53942	Hs.656783	NM_014361	ENSG00000149972	CNTN5	HNB-2s|NB-2	contactin 5	protein-coding
chr9-9	chr9	130423760	130423992	+	21.3	0.879	intron (NM_001032221, intron 6 of 18)	intron (NM_001032221, intron 6 of 18)	29198	NR_037473	100500872		NR_037473	ENSG00000283874	MIR3911	mir-3911	microRNA 3911	ncRNA
chr11-11	chr11	64102581	64102813	+	21.2	0.852	Intergenic	Intergenic	-4993	NM_032251	283234	Hs.98564	NM_032251	ENSG00000168071	CCDC88B	BRLZ|CCDC88|HKRP3|gipie	coiled-coil domain containing 88B	protein-coding
chr3-11	chr3	104628138	104628370	+	21.1	0.810	Intergenic	Intergenic	-457303	NM_001243280	214	Hs.591293	NM_001627	ENSG00000170017	ALCAM	CD166|MEMD	activated leukocyte cell adhesion molecule	protein-coding
chr6-16	chr6	170396056	170396288	+	21.0	0.815	Intergenic	Intergenic	-79694	NR_125878	102724511	Hs.550045	NR_125878		LOC102724511	-	uncharacterized LOC102724511	ncRNA
chr6-17	chr6	117269718	117269950	+	20.9	0.817	Intergenic	Intergenic	71458	NM_173560	222546	Hs.352276	NM_173560	ENSG00000185002	RFX6	MTCHRS|MTFS|RFXDC1|dJ955L16.1	regulatory factor X6	protein-coding
chr8-17	chr8	120734287	120734519	+	20.9	0.916	Intergenic	Intergenic	-48587	NM_001330600	5168	Hs.190977	NM_006209	ENSG00000136960	ENPP2	ATX|ATX-X|AUTOTAXIN|LysoPLD|NPP2|PD-IALPHA|PDNP2	ectonucleotide pyrophosphatase/phosphodiesterase 2	protein-coding
chr10-29	chr10	35055208	35055440	+	20.8	0.934	intron (NM_019619, intron 1 of 24)	intron (NM_019619, intron 1 of 24)	48929	NM_001184787	56288	Hs.131489	NM_019619	ENSG00000148498	PARD3	ASIP|Baz|PAR3|PAR3alpha|PARD-3|PARD3A|PPP1R118|SE2-5L16|SE2-5LT1|SE2-5T2	par-3 family cell polarity regulator	protein-coding
chr9-10	chr9	99277954	99278186	+	20.7	0.881	exon (NM_001351570, exon 13 of 14)	exon (NM_001351570, exon 13 of 14)	51188	NM_001351568	8555	Hs.40582	NM_003671	ENSG00000081377	CDC14B	CDC14B3|Cdc14B1|Cdc14B2|hCDC14B	cell division cycle 14B	protein-coding
chr14-9	chr14	85938100	85938332	+	20.7	0.788	Intergenic	Intergenic	-58153	NM_001346144	23768	Hs.533710	NM_013231	ENSG00000185070	FLRT2	-	fibronectin leucine rich transmembrane protein 2	protein-coding
chr14-10	chr14	50850421	50850653	+	20.7	0.812	intron (NM_001282236, intron 2 of 8)	intron (NM_001282236, intron 2 of 8)	12105	NM_004196	8814	Hs.280881	NM_004196	ENSG00000100490	CDKL1	KKIALRE|P42	cyclin dependent kinase like 1	protein-coding
chr1-30	chr1	175505573	175505805	+	20.7	0.929	intron (NM_003285, intron 1 of 22)	MIR|SINE|MIR	207063	NM_001328635	7143	Hs.659864	NM_003285	ENSG00000116147	TNR	TN-R	tenascin R	protein-coding
chr3-12	chr3	134125466	134125698	+	20.7	0.873	Intergenic	CpG	-31087	NR_039951	100616281		NR_039951	ENSG00000284561	MIR4788	-	microRNA 4788	ncRNA
chr1-32	chr1	35309301	35309533	+	20.6	0.751	Intergenic	Intergenic	15229	NM_001164824	113444	Hs.27160	NM_138428	ENSG00000163866	SMIM12	C1orf212	small integral membrane protein 12	protein-coding
chr14-11	chr14	104061782	104062014	+	20.6	0.885	Intergenic	Intergenic	32604	NR_126431	84334	Hs.598441	NM_032374	ENSG00000256053	APOPT1	APOP|APOP1|C14orf153	apoptogenic 1, mitochondrial	protein-coding
chr11-13	chr11	76738438	76738670	+	20.6	0.849	TTS (NM_018367)	TTS (NM_018367)	-6831	NM_138706	192134	Hs.352622	NM_138706	ENSG00000198488	B3GNT6	B3Gn-T6|BGnT-6|beta-1,3-Gn-T6|beta3Gn-T6	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 6	protein-coding
chr2-31	chr2	227903300	227903532	+	20.6	0.778	intron (NM_000092, intron 37 of 47)	intron (NM_000092, intron 37 of 47)	125859	NM_000092	1286	Hs.591645	NM_000092	ENSG00000081052	COL4A4	CA44	collagen type IV alpha 4 chain	protein-coding
chr5-15	chr5	100139158	100139390	+	20.5	0.913	Intergenic	Intergenic	12995	NR_031686	100302288		NR_031686	ENSG00000221263	MIR548P	MIRN548P|hsa-mir-548p	microRNA 548p	ncRNA
chr8-18	chr8	131314690	131314922	+	20.5	0.869	intron (NM_001247996, intron 4 of 30)	intron (NM_001247996, intron 4 of 30)	-6027	NR_002765	29065	Hs.639318	NR_002765		ASAP1-IT1	ASAP1-IT|ASAP1IT|ASAP1IT1|DDEF1IT1|HSPC054|NCRNA00050	ASAP1 intronic transcript 1	ncRNA
chr1-31	chr1	75145580	75145812	+	20.5	0.877	Intergenic	Intergenic	-6274	NM_001002912	127254	Hs.531182	NM_001002912	ENSG00000178965	ERICH3	C1orf173	glutamate rich 3	protein-coding
chr6-18	chr6	100658499	100658731	+	20.4	0.708	Intergenic	Intergenic	-216501	NM_032503	84539	Hs.591342	NM_032503	ENSG00000152034	MCHR2	GPR145|GPRv17|MCH-2R|MCH-R2|MCH2|MCH2R|MCHR-2|SLT	melanin concentrating hormone receptor 2	protein-coding
