PeakID (cmd=annotatePeaks.pl GSE106949_XM001-PP_PDX1_CTTGTA_GEM_events_Filtered_Merged.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
6:91426229	chr6	91426130	91426330	+	559	NA	Intergenic	Intergenic	-129439	NM_003188	6885	Hs.594838	NM_003188	ENSG00000135341	MAP3K7	CSCF|FMD2|MEKK7|TAK1|TGF1a	mitogen-activated protein kinase kinase kinase 7	protein-coding
4:87960116	chr4	87960017	87960217	+	559	NA	intron (NM_001313960, intron 1 of 17)	intron (NM_001313960, intron 1 of 17)	31964	NM_005935	4299	Hs.480190	NM_005935	ENSG00000172493	AFF1	AF4|MLLT2|PBM1	AF4/FMR2 family member 1	protein-coding
8:37584904	chr8	37584805	37585005	+	559	NA	intron (NR_125820, intron 2 of 2)	intron (NR_125820, intron 2 of 2)	-9247	NM_001003790	11160	Hs.669261	NM_007175	ENSG00000147475	ERLIN2	C8orf2|Erlin-2|NET32|SPFH2|SPG18	ER lipid raft associated 2	protein-coding
7:150864868,7:150865024	chr7	150864769	150865125	+	558	NA	promoter-TSS (NM_001098834)	promoter-TSS (NM_001098834)	-312	NM_001098834	2636		NM_001098834	ENSG00000164900	GBX1	Huh-17	gastrulation brain homeobox 1	protein-coding
6:82526304	chr6	82526205	82526405	+	556	NA	Intergenic	Intergenic	-2396	NR_126363	101928770	Hs.586239	NR_126363	ENSG00000224995	LINC01526	Lnc-FAM46A-1	long intergenic non-protein coding RNA 1526	ncRNA
17:27381985	chr17	27381886	27382086	+	556	NA	intron (NM_016518, intron 5 of 7)	intron (NM_016518, intron 5 of 7)	11827	NM_016518	51268	Hs.462585	NM_016518	ENSG00000179761	PIPOX	LPIPOX	pipecolic acid and sarcosine oxidase	protein-coding
15:37189336	chr15	37189237	37189437	+	553	NA	intron (NR_051953, intron 8 of 11)	intron (NR_051953, intron 8 of 11)	-10603	NR_024264	145845	Hs.302693	NM_001101327		LOC145845	-	uncharacterized LOC145845	ncRNA
17:70745468	chr17	70745369	70745569	+	553	NA	intron (NM_001352691, intron 7 of 10)	intron (NM_001352691, intron 7 of 10)	-108858	NR_033876	400619	Hs.447555	NR_033876	ENSG00000227036	LINC00511	LCAL5|onco-lncRNA-12	long intergenic non-protein coding RNA 511	ncRNA
1:108507238	chr1	108507139	108507339	+	553	NA	intron (NR_046653, intron 1 of 2)	intron (NR_046653, intron 1 of 2)	174	NR_046653	100873946	Hs.568676	NR_046653	ENSG00000230489	VAV3-AS1	-	VAV3 antisense RNA 1	ncRNA
15:99129488	chr15	99129389	99129589	+	550	NA	Intergenic	Intergenic	-62279	NM_000875	3480	Hs.643120	NM_000875	ENSG00000140443	IGF1R	CD221|IGFIR|IGFR|JTK13	insulin like growth factor 1 receptor	protein-coding
11:123693510	chr11	123693411	123693611	+	550	NA	Intergenic	Intergenic	-16454	NM_001005325	390261	Hs.557924	NM_001005325	ENSG00000196099	OR6M1	OR11-271	olfactory receptor family 6 subfamily M member 1	protein-coding
5:124895160	chr5	124895061	124895261	+	550	NA	intron (NR_109887, intron 3 of 3)	intron (NR_109887, intron 3 of 3)	66207	NR_109887	101927460	Hs.407582	NR_109887	ENSG00000260192	LINC02240	-	long intergenic non-protein coding RNA 2240	ncRNA
10:24830520	chr10	24830421	24830621	+	549	NA	intron (NM_001282768, intron 16 of 17)	intron (NM_001282768, intron 16 of 17)	75061	NM_001282770	56243	Hs.445885	NM_019590	ENSG00000120549	KIAA1217	ETL4|SKT	KIAA1217	protein-coding
3:53164508	chr3	53164409	53164609	+	549	NA	promoter-TSS (NM_052859)	promoter-TSS (NM_052859)	-58	NM_052859	91869	Hs.631910	NM_052859	ENSG00000163933	RFT1	CDG1N	RFT1 homolog	protein-coding
1:117724470	chr1	117724371	117724571	+	546	NA	intron (NM_024626, intron 1 of 5)	intron (NM_024626, intron 1 of 5)	21987	NM_001253849	79679	Hs.546434	NM_024626	ENSG00000134258	VTCN1	B7-H4|B7H4|B7S1|B7X|B7h.5|PRO1291|VCTN1	V-set domain containing T cell activation inhibitor 1	protein-coding
9:83112320	chr9	83112221	83112421	+	546	NA	Intergenic	Intergenic	522383	NR_121212	101927477	Hs.571630	NR_121212		LINC01507	XLOC_000303	long intergenic non-protein coding RNA 1507	ncRNA
11:62695625,11:62695688	chr11	62695526	62695789	+	546	NA	Intergenic	Intergenic	-6822	NM_000738	1128	Hs.632119	NM_000738	ENSG00000168539	CHRM1	HM1|M1|M1R	cholinergic receptor muscarinic 1	protein-coding
1:22883962	chr1	22883863	22884063	+	543	NA	Intergenic	Intergenic	-6019	NM_020526	2046	Hs.283613	NM_020526	ENSG00000070886	EPHA8	EEK|EK3|HEK3	EPH receptor A8	protein-coding
2:135190216	chr2	135190117	135190317	+	543	NA	intron (NM_001371457, intron 15 of 16)	MIR|SINE|MIR	178574	NM_002410	4249	Hs.4988	NM_002410	ENSG00000152127	MGAT5	GNT-V|GNT-VA|MGAT5A	alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase	protein-coding
11:88030794,11:88030926	chr11	88030695	88031027	+	541	NA	intron (NM_001814, intron 5 of 6)	intron (NM_001814, intron 5 of 6)	40043	NM_148170	1075	Hs.128065	NM_001814	ENSG00000109861	CTSC	CPPI|DPP-I|DPP1|DPPI|HMS|JP|JPD|PALS|PDON1|PLS	cathepsin C	protein-coding
10:74210117	chr10	74210018	74210218	+	541	NA	intron (NM_001195519, intron 3 of 6)	L2b|LINE|L2	73626	NM_001195519	10367	Hs.524367	NM_006077	ENSG00000107745	MICU1	CALC|CBARA1|EFHA3|MPXPS|ara CALC	mitochondrial calcium uptake 1	protein-coding
2:118940813	chr2	118940714	118940914	+	541	NA	non-coding (NR_144530, exon 3 of 3)	non-coding (NR_144530, exon 3 of 3)	3148	NR_144530	100506797	Hs.116176	NR_144530	ENSG00000226856	THORLNC	THOR	testis associated oncogenic lncRNA	ncRNA
10:22716216	chr10	22716117	22716317	+	540	NA	Intergenic	Intergenic	10641	NR_036533	100499489	Hs.7444	NR_036533		LOC100499489	-	uncharacterized LOC100499489	ncRNA
7:3247188,7:3247249	chr7	3247089	3247350	+	539	NA	Intergenic	Charlie19a|DNA|hAT-Charlie	-49013	NR_126024	100129603	Hs.652997	NR_126024		LOC100129603	-	uncharacterized LOC100129603	ncRNA
15:31116932,15:31117097	chr15	31116833	31117198	+	539	NA	intron (NR_072991, intron 4 of 4)	intron (NR_072991, intron 4 of 4)	6776	NR_072991	390561	Hs.721293	NR_072991		HERC2P10	-	hect domain and RLD 2 pseudogene 10	pseudo
2:105518051	chr2	105517952	105518152	+	536	NA	Intergenic	Intergenic	-28999	NR_110374	102682016	Hs.638438	NR_110373	ENSG00000229743	LINC01159	linc-Brn1b	long intergenic non-protein coding RNA 1159	ncRNA
2:5509888	chr2	5509789	5509989	+	534	NA	Intergenic	Intergenic	321361	NR_110580	102723818	Hs.128107	NR_110580		LINC01248	-	long intergenic non-protein coding RNA 1248	ncRNA
9:130533762	chr9	130533663	130533863	+	534	NA	promoter-TSS (NM_005489)	promoter-TSS (NM_005489)	-115	NM_001252334	10044	Hs.306412	NM_005489	ENSG00000095370	SH2D3C	CHAT|NSP3|PRO34088|SHEP1	SH2 domain containing 3C	protein-coding
8:37404572,8:37404867	chr8	37404473	37404968	+	534	NA	Intergenic	Intergenic	-25816	NR_121621	100507420	Hs.105962	NR_121620		LINC01605	LincDUSP	long intergenic non-protein coding RNA 1605	ncRNA
10:80063040	chr10	80062941	80063141	+	534	NA	Intergenic	CpG	35942	NR_073447	414243	Hs.55047	NR_073447	ENSG00000230417	LINC00595	C10orf101	long intergenic non-protein coding RNA 595	ncRNA
4:78912265	chr4	78912166	78912366	+	534	NA	Intergenic	Eulor2A|DNA?|DNA?	-66211	NM_025074	80144	Hs.369448	NM_020875	ENSG00000138759	FRAS1	FRASRS1	Fraser extracellular matrix complex subunit 1	protein-coding
9:16172054	chr9	16171955	16172155	+	531	NA	Intergenic	Intergenic	81050	NM_001271829	100129385	Hs.586441	NM_001271829	ENSG00000205549	C9orf92	Em:AL513424.1	chromosome 9 open reading frame 92	protein-coding
6:37282874	chr6	37282775	37282975	+	531	NA	intron (NR_130108, intron 10 of 12)	intron (NR_130108, intron 10 of 12)	-38884	NR_046399	9025	Hs.485278	NM_003958	ENSG00000112130	RNF8	hRNF8	ring finger protein 8	protein-coding
3:194085854	chr3	194085755	194085955	+	531	NA	intron (NM_001135057, intron 1 of 2)	intron (NM_001135057, intron 1 of 2)	4617	NM_130830	131578	Hs.288467	NM_130830	ENSG00000172061	LRRC15	LIB	leucine rich repeat containing 15	protein-coding
18:47614149	chr18	47614050	47614250	+	528	NA	intron (NM_001080467, intron 1 of 39)	intron (NM_001080467, intron 1 of 39)	38783	NR_036204	100422865		NR_036204	ENSG00000283343	MIR4320	-	microRNA 4320	ncRNA
11:78661257	chr11	78661158	78661358	+	528	NA	intron (NM_001098816, intron 6 of 33)	intron (NM_001098816, intron 6 of 33)	-375349	NM_001243251	79731	Hs.503389	NM_024678	ENSG00000137513	NARS2	DFNB94|SLM5|asnRS	asparaginyl-tRNA synthetase 2, mitochondrial	protein-coding
1:3166943	chr1	3166844	3167044	+	528	NA	intron (NM_199454, intron 3 of 16)	intron (NM_199454, intron 3 of 16)	122405	NR_036215	100422968		NR_036215	ENSG00000283572	MIR4251	-	microRNA 4251	ncRNA
3:86462971	chr3	86462872	86463072	+	528	NA	Intergenic	Intergenic	-68121	NR_135563	101927494	Hs.385622	NR_135563	ENSG00000241328	LINC02070	-	long intergenic non-protein coding RNA 2070	ncRNA
5:143891085	chr5	143890986	143891186	+	528	NA	Intergenic	Intergenic	306132	NM_001370486	57528	Hs.7093	NM_020768	ENSG00000183775	KCTD16	-	potassium channel tetramerization domain containing 16	protein-coding
20:50419093,20:50419245	chr20	50418994	50419346	+	526	NA	promoter-TSS (NM_001318031)	promoter-TSS (NM_001318031)	-110	NM_001318031	57167	Hs.517113	NM_020436	ENSG00000101115	SALL4	DRRS|HSAL4|ZNF797	spalt like transcription factor 4	protein-coding
14:76813246	chr14	76813147	76813347	+	525	NA	Intergenic	Intergenic	-24443	NM_004452	2103	Hs.435845	NM_004452	ENSG00000119715	ESRRB	DFNB35|ERR2|ERRb|ESRL2|NR3B2	estrogen related receptor beta	protein-coding
11:69232088	chr11	69231989	69232189	+	525	NA	Intergenic	Intergenic	-8334	NM_001319657	102724265	Hs.448669	NM_001319657		LOC102724265	-	uncharacterized LOC102724265	protein-coding
13:50656097	chr13	50655998	50656198	+	525	NA	promoter-TSS (NR_002605)	promoter-TSS (NR_002605)	79	NR_152572	8847	Hs.547964	NR_002612	ENSG00000231607	DLEU2	ALT1|BCMSUN|DLB2|LEU2|LINC00022|MIR15AHG|NCRNA00022|RFP2|RFP2OS|TRIM13OS	deleted in lymphocytic leukemia 2	ncRNA
2:191653993	chr2	191653894	191654094	+	525	NA	Intergenic	PrimLTR79|LTR|ERV1	-91553	NM_001256310	2744	Hs.116448	NM_014905	ENSG00000115419	GLS	AAD20|CASGID|EIEE71|GAC|GAM|GDPAG|GLS1|KGA	glutaminase	protein-coding
1:153767645	chr1	153767546	153767746	+	522	NA	intron (NR_126565, intron 1 of 2)	intron (NR_126565, intron 1 of 2)	1223	NR_126565	343052	Hs.516530	NR_126565	ENSG00000231827	LOC343052	-	immunoglobulin superfamily DCC subclass member 3 pseudogene	pseudo
2:63277968	chr2	63277869	63278069	+	522	NA	promoter-TSS (NR_130153)	promoter-TSS (NR_130153)	4	NR_130153	5013	Hs.734360	NM_014562	ENSG00000115507	OTX1	-	orthodenticle homeobox 1	protein-coding
16:15612311,16:15612391	chr16	15612212	15612492	+	521	NA	intron (NM_001142469, intron 2 of 5)	LTR86C|LTR|ERVL	16229	NM_001142469	89927	Hs.401798	NM_033201	ENSG00000166780	BMERB1	C16orf45|MINP	bMERB domain containing 1	protein-coding
7:156796920	chr7	156796821	156797021	+	521	NA	TTS (NM_001165255)	TTS (NM_001165255)	-2080	NR_147077	105375606	Hs.606605	NR_147077	ENSG00000235029	MNX1-AS2	-	MNX1 antisense RNA 2	ncRNA
10:71314507,10:71314675	chr10	71314408	71314776	+	519	NA	Intergenic	Intergenic	18586	NM_020999	50674	Hs.532682	NM_020999	ENSG00000122859	NEUROG3	Atoh5|Math4B|NGN-3|bHLHa7|ngn3	neurogenin 3	protein-coding
8:61760986	chr8	61760887	61761087	+	519	NA	intron (NM_017780, intron 23 of 37)	intron (NM_017780, intron 23 of 37)	107169	NM_001316690	55636	Hs.20395	NM_017780	ENSG00000171316	CHD7	CRG|HH5|IS3|KAL5	chromodomain helicase DNA binding protein 7	protein-coding
3:157648474	chr3	157648375	157648575	+	519	NA	Intergenic	7SK|RNA|RNA	175477	NM_006884	6474	Hs.55967	NM_003030	ENSG00000168779	SHOX2	OG12|OG12X|SHOT	short stature homeobox 2	protein-coding
3:87945336	chr3	87945237	87945437	+	518	NA	intron (NM_001322210, intron 2 of 2)	intron (NM_001322210, intron 2 of 2)	-86389	NM_000866	3355	Hs.248136	NM_000866	ENSG00000179097	HTR1F	5-HT-1F|5-HT1F|5HT6|HTR1EL|MR77	5-hydroxytryptamine receptor 1F	protein-coding
3:177802220	chr3	177802121	177802321	+	516	NA	Intergenic	Intergenic	267568	NR_110826	102724550	Hs.570526	NR_110826	ENSG00000231574	LINC02015	KCCAT211	long intergenic non-protein coding RNA 2015	ncRNA
12:32048565	chr12	32048466	32048666	+	516	NA	Intergenic	HAL1|LINE|L1	-8429	NR_135029	105369723	Hs.736954	NR_135029	ENSG00000255760	LINC02422	-	long intergenic non-protein coding RNA 2422	ncRNA
17:34300934	chr17	34300835	34301035	+	516	NA	Intergenic	Intergenic	7598	NM_004590	6360	Hs.10458	NM_004590	ENSG00000275152	CCL16	CKb12|HCC-4|ILINCK|LCC-1|LEC|LMC|Mtn-1|NCC-4|NCC4|SCYA16|SCYL4	C-C motif chemokine ligand 16	protein-coding
11:2161701	chr11	2161602	2161802	+	516	NA	promoter-TSS (NR_028043)	promoter-TSS (NR_028043)	-40	NR_133657	51214	Hs.716962	NM_016412	ENSG00000099869	IGF2-AS	IGF2-AS1|IGF2AS|PEG8	IGF2 antisense RNA	ncRNA
19:18909538	chr19	18909439	18909639	+	515	NA	Intergenic	Intergenic	-7425	NM_000095	1311	Hs.1584	NM_000095	ENSG00000105664	COMP	EDM1|EPD1|MED|PSACH|THBS5|TSP5	cartilage oligomeric matrix protein	protein-coding
12:59479024	chr12	59478925	59479125	+	513	NA	Intergenic	Intergenic	-164706	NM_153377	121227	Hs.253736	NM_153377	ENSG00000139263	LRIG3	LIG3	leucine rich repeats and immunoglobulin like domains 3	protein-coding
4:152450689	chr4	152450590	152450790	+	513	NA	intron (NM_001109977, intron 3 of 13)	MLT1M|LTR|ERVL-MaLR	120362	NM_001109977	729830	Hs.633810	NM_001109977	ENSG00000164142	FAM160A1	-	family with sequence similarity 160 member A1	protein-coding
6:113085739	chr6	113085640	113085840	+	513	NA	Intergenic	Intergenic	417208	NM_001013734	442247	Hs.448264	NM_001013734	ENSG00000251258	RFPL4B	RNF211	ret finger protein like 4B	protein-coding
8:25503042	chr8	25502943	25503143	+	513	NA	Intergenic	Intergenic	186294	NM_152562	157313	Hs.33366	NM_152562	ENSG00000184661	CDCA2	PPP1R81|Repo-Man	cell division cycle associated 2	protein-coding
11:36176675	chr11	36176576	36176776	+	513	NA	intron (NM_174902, intron 4 of 5)	intron (NM_174902, intron 4 of 5)	-77225	NR_135064	101928510	Hs.675857	NR_135064		LOC101928510	-	uncharacterized LOC101928510	ncRNA
8:124670821	chr8	124670722	124670922	+	512	NA	Intergenic	Intergenic	-4781	NM_001081675	340359	Hs.450252	NM_001081675	ENSG00000175946	KLHL38	C8ORFK36	kelch like family member 38	protein-coding
3:127795764,3:127796021	chr3	127795665	127796122	+	512	NA	intron (NR_046645, intron 1 of 1)	CpG	1240	NR_046645	100874089	Hs.581603	NR_046645	ENSG00000239608	RUVBL1-AS1	-	RUVBL1 antisense RNA 1	ncRNA
13:97777816,13:97777907	chr13	97777717	97778008	+	512	NA	Intergenic	Intergenic	54014	NR_125725	103625683	Hs.679591	NR_125725	ENSG00000233124	LINC00456	-	long intergenic non-protein coding RNA 456	ncRNA
6:160676280	chr6	160676181	160676381	+	511	NA	intron (NM_003058, intron 2 of 10)	intron (NM_003058, intron 2 of 10)	3572	NM_003058	6582	Hs.436385	NM_003058	ENSG00000112499	SLC22A2	OCT2	solute carrier family 22 member 2	protein-coding
1:218336319	chr1	218336220	218336420	+	510	NA	Intergenic	Intergenic	119473	NR_110794	101929631	Hs.407614	NR_110794	ENSG00000232100	LINC01653	-	long intergenic non-protein coding RNA 1653	ncRNA
8:67874837	chr8	67874738	67874938	+	510	NA	promoter-TSS (NM_001193502)	promoter-TSS (NM_001193502)	-12	NM_001193502	100129654	Hs.120040	NM_001193502	ENSG00000261787	TCF24	TCF-24|bHLHa25	transcription factor 24	protein-coding
4:38244494	chr4	38244395	38244595	+	510	NA	Intergenic	Intergenic	122920	NM_001253915	23216	Hs.176503	NM_015173	ENSG00000065882	TBC1D1	TBC|TBC1	TBC1 domain family member 1	protein-coding
6:80341356	chr6	80341257	80341457	+	508	NA	intron (NM_031469, intron 1 of 3)	intron (NM_031469, intron 1 of 3)	311	NM_031469	83699	Hs.302772	NM_031469	ENSG00000198478	SH3BGRL2	-	SH3 domain binding glutamate rich protein like 2	protein-coding
8:37416300	chr8	37416201	37416401	+	507	NA	Intergenic	Intergenic	-37397	NR_121621	100507420	Hs.105962	NR_121620		LINC01605	LincDUSP	long intergenic non-protein coding RNA 1605	ncRNA
15:37179525	chr15	37179426	37179626	+	507	NA	promoter-TSS (NR_024264)	promoter-TSS (NR_024264)	-792	NR_024264	145845	Hs.302693	NM_001101327		LOC145845	-	uncharacterized LOC145845	ncRNA
1:180892333	chr1	180892234	180892434	+	507	NA	intron (NM_020950, intron 3 of 8)	MER21B|LTR|ERVL	10301	NM_020950	57710	Hs.734816	NM_020950	ENSG00000135835	KIAA1614	-	KIAA1614	protein-coding
15:92708198	chr15	92708099	92708299	+	507	NA	3' UTR (NM_013272, exon 10 of 10)	3' UTR (NM_013272, exon 10 of 10)	-228912	NM_006011	8128	Hs.302341	NM_006011	ENSG00000140557	ST8SIA2	HsT19690|SIAT8-B|SIAT8B|ST8SIA-II|ST8SiaII|STX	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2	protein-coding
12:92538690	chr12	92538591	92538791	+	507	NA	intron (NM_001731, intron 1 of 1)	intron (NM_001731, intron 1 of 1)	931	NM_001731	694	Hs.255935	NM_001731	ENSG00000133639	BTG1	APRO2	BTG anti-proliferation factor 1	protein-coding
1:56798106	chr1	56798007	56798207	+	505	NA	Intergenic	Intergenic	-82528	NR_147163	105378744	Hs.183974	NR_147163	ENSG00000223956	LINC01767	-	long intergenic non-protein coding RNA 1767	ncRNA
7:100882062	chr7	100881963	100882163	+	504	NA	promoter-TSS (NM_001185080)	promoter-TSS (NM_001185080)	38	NM_001185080	24146	Hs.38738	NM_014343	ENSG00000106404	CLDN15	-	claudin 15	protein-coding
1:225566848	chr1	225566749	225566949	+	504	NA	intron (NM_001367479, intron 79 of 85)	intron (NM_001367479, intron 79 of 85)	48891	NM_002296	3930	Hs.435166	NM_002296	ENSG00000143815	LBR	C14SR|DHCR14B|LMN2R|PHA|PHASK|TDRD18	lamin B receptor	protein-coding
2:237477151	chr2	237477052	237477252	+	504	NA	Intergenic	CpG	-1316	NM_020311	57007	Hs.471751	NM_020311	ENSG00000144476	ACKR3	CMKOR1|CXC-R7|CXCR-7|CXCR7|GPR159|RDC-1|RDC1	atypical chemokine receptor 3	protein-coding
10:77893490	chr10	77893391	77893591	+	504	NA	intron (NM_001305581, intron 5 of 6)	intron (NM_001305581, intron 5 of 6)	350972	NM_032024	83938	Hs.118161	NM_032024	ENSG00000148655	LRMDA	C10orf11|CDA017	leucine rich melanocyte differentiation associated	protein-coding
3:70874109	chr3	70874010	70874210	+	501	NA	Intergenic	Intergenic	239965	NM_001244813	27086	Hs.59368	NM_032682	ENSG00000114861	FOXP1	12CC4|HSPC215|MFH|QRF1|hFKH1B	forkhead box P1	protein-coding
8:82192361	chr8	82192262	82192462	+	501	NA	promoter-TSS (NM_001444)	promoter-TSS (NM_001444)	-409	NM_001444	2171	Hs.408061	NM_001444	ENSG00000164687	FABP5	E-FABP|EFABP|KFABP|PA-FABP|PAFABP	fatty acid binding protein 5	protein-coding
5:111519278	chr5	111519179	111519379	+	500	NA	intron (NM_022140, intron 18 of 22)	intron (NM_022140, intron 18 of 22)	22097	NR_002922	654322	Hs.689709	NR_002922	ENSG00000238363	SNORA13	ACA13	small nucleolar RNA, H/ACA box 13	snoRNA
17:13855912	chr17	13855813	13856013	+	498	NA	Intergenic	Intergenic	-71902	NR_003261	94158	Hs.633073	NR_003261		CDRT15P1	CDRT15P	CMT1A duplicated region transcript 15 pseudogene 1	pseudo
6:135156521	chr6	135156422	135156622	+	497	NA	Intergenic	Intergenic	114717	NM_022568	64577	Hs.486520	NM_022568	ENSG00000118514	ALDH8A1	ALDH12|DJ352A20.2	aldehyde dehydrogenase 8 family member A1	protein-coding
5:172328305	chr5	172328206	172328406	+	497	NA	intron (NM_001031711, intron 3 of 9)	intron (NM_001031711, intron 3 of 9)	-13780	NR_162113	113218510		NR_162113		MIR10523	-	microRNA 10523	ncRNA
1:45068580	chr1	45068481	45068681	+	497	NA	intron (NM_001319957, intron 1 of 13)	intron (NM_001319957, intron 1 of 13)	57416	NR_049849	100847089		NR_049849	ENSG00000263381	MIR5584	-	microRNA 5584	ncRNA
1:153165331	chr1	153165232	153165432	+	497	NA	Intergenic	Intergenic	-10574	NM_001010857	149018	Hs.125785	NM_001010857	ENSG00000203784	LELP1	-	late cornified envelope like proline rich 1	protein-coding
11:2010046	chr11	2009947	2010147	+	497	NA	intron (NR_024471, intron 1 of 3)	intron (NR_024471, intron 1 of 3)	1103	NR_024471	100133545	Hs.677620	NR_024471	ENSG00000226416	MRPL23-AS1	-	MRPL23 antisense RNA 1	ncRNA
20:45440042	chr20	45439943	45440143	+	497	NA	Intergenic	Intergenic	-83220	NM_172110	2139	Hs.472877	NM_005244	ENSG00000064655	EYA2	EAB1	EYA transcriptional coactivator and phosphatase 2	protein-coding
13:110439210,13:110439256	chr13	110439111	110439357	+	495	NA	promoter-TSS (NM_003749)	promoter-TSS (NM_003749)	-304	NM_003749	8660	Hs.442344	NM_003749	ENSG00000185950	IRS2	IRS-2	insulin receptor substrate 2	protein-coding
4:30854596,4:30854675	chr4	30854497	30854776	+	495	NA	intron (NM_001173523, intron 1 of 2)	MER117|DNA|hAT-Charlie	132645	NM_001173523	5099	Hs.479439	NM_002589	ENSG00000169851	PCDH7	BH-Pcdh|BHPCDH|PPP1R120	protocadherin 7	protein-coding
21:9827056	chr21	9826957	9827157	+	494	NA	TTS (NR_162111)	TTS (NR_162111)	607	NR_162105	113218501		NR_162105		MIR10396A	-	microRNA 10396a	ncRNA
20:37784839	chr20	37784740	37784940	+	494	NA	Intergenic	Intergenic	68551	NR_027124	339568	Hs.434319	NR_027124	ENSG00000230324	LINC01734	-	long intergenic non-protein coding RNA 1734	ncRNA
12:119049234	chr12	119049135	119049335	+	494	NA	Intergenic	Intergenic	150249	NR_134998	105370014	Hs.550870	NR_134998	ENSG00000256750	LINC02423	-	long intergenic non-protein coding RNA 2423	ncRNA
8:37532908,8:37532985	chr8	37532809	37533086	+	493	NA	Intergenic	Intergenic	-20353	NM_025069	80139	Hs.288042	NM_025069	ENSG00000183779	ZNF703	NLZ1|ZEPPO1|ZNF503L|ZPO1	zinc finger protein 703	protein-coding
8:37561033,8:37561103	chr8	37560934	37561204	+	492	NA	Intergenic	Intergenic	7769	NM_025069	80139	Hs.288042	NM_025069	ENSG00000183779	ZNF703	NLZ1|ZEPPO1|ZNF503L|ZPO1	zinc finger protein 703	protein-coding
12:53278405	chr12	53278306	53278506	+	491	NA	Intergenic	LTR24|LTR|ERV1	14362	NR_162090	113218482		NR_162090		MIR9898	-	microRNA 9898	ncRNA
10:62835460	chr10	62835361	62835561	+	491	NA	Intergenic	Intergenic	59428	NR_108052	100507058	Hs.145227	NR_108052	ENSG00000227244	LINC00845	-	long intergenic non-protein coding RNA 845	ncRNA
10:76349155	chr10	76349056	76349256	+	491	NA	intron (NM_001369123, intron 8 of 9)	intron (NM_001369123, intron 8 of 9)	-60074	NR_120673	102723439		NR_120673		LOC102723439	-	uncharacterized LOC102723439	ncRNA
